"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "BB515-A", "APC-A", "Time", "Event #"
22432.2,13464.6,119681,38544.9,28615.1,108082,66.1529,180.856,0.00761384,0
50694.7,30412.8,117738,43884.7,37529.5,96756.3,60.9917,118.816,0.0150678,1
39102.8,21823,124456,46257.6,34345.9,101265,82.8168,397.743,0.0305165,2
65195.9,35323.6,126622,65978,47166.4,106687,190.616,532.69,0.0328817,3
23787.8,14119.5,112601,60023.3,42386.1,110237,228.473,576.276,0.0346503,5
43749.8,26392.4,140585,72965.7,40009.3,121242,212.6,413.498,0.0384513,6
68083.7,36326.5,132223,65006.7,44935.8,110979,85.5016,621.104,0.0397195,7
22500.4,11636.4,113975,50799.9,38157.9,101503,108.444,392.445,0.0481901,9
30820.7,17962.5,124183,58014,40750.6,107867,170.033,393.381,0.048791,10
39418.2,20959.1,122070,40268.1,28575.8,100995,61.9403,281.943,0.0504204,11
54378.1,32544.4,117982,44046.8,34407.2,97743,108.386,258.044,0.0525063,12
35110.6,18490,128474,65950.8,44119.1,114631,166.413,484.687,0.0617507,13
48646.3,27595.7,125164,70956.3,52275.8,107201,92.8491,444.587,0.0647834,14
27200,15082.4,117610,51398.9,37429.3,106292,136.495,335.179,0.0654639,15
39011.4,22384.4,115240,44627.9,37795.4,95402.3,80.1306,366.593,0.0733636,16
54670.2,31624.8,120911,62385.2,45849.2,104645,114.368,288.697,0.0736734,17
21072,11864,116673,51426.8,39045.5,103900,144.409,228.164,0.0757256,18
29044.5,16654.8,121066,70341.5,48356.1,111624,146.198,385.996,0.076999,19
77357.3,43862.5,127347,69701,54174,103636,113.555,462.841,0.0889208,21
72610.1,40470.7,127136,85707.2,66497.5,107899,194.734,679.984,0.0908594,22
69622.8,35510.4,134017,85345.6,58833.5,111383,156.862,660.922,0.0990366,23
22341.7,12534.6,111915,39525.8,29371.7,97471.8,26.6691,241.007,0.104392,24
31152.7,17192.2,116690,58781.6,43670.7,102920,113.845,244.387,0.11192,25
44959.6,26722.6,121629,49766.3,41909.4,98106,71.7132,374.948,0.112851,26
77785.1,41208.5,134714,76720.9,54170.6,111742,138.691,454.236,0.115099,27
52554.2,28324.1,133636,77432.2,46943.5,117955,172.732,418.359,0.11841,29
67388.7,39182.7,131869,67605.5,50564.8,110518,190.387,364.554,0.118805,30
52403.1,30625.2,120686,47232,37372.8,97785.3,82.5832,988.418,0.137715,32
26976.9,13396.4,127732,76581.3,51783.7,115739,160.546,630.423,0.141038,33
35945.1,20698.7,116525,53595.6,40996.5,104055,141.638,326.225,0.148059,34
39511.2,19042.6,128575,66985.9,46602.3,111056,182.771,305.724,0.149622,35
39520.3,24123.9,122171,58263,47324.6,104114,92.0915,357.28,0.154531,36
59798.5,34479.2,120922,53738,44290.9,98236.5,129.265,428.27,0.15755,38
42291.1,25171.8,117997,37624.4,28727.4,95926.9,89.8763,328.07,0.162052,39
38275.3,22040.6,118417,49944,38114.9,100086,41.3101,254.941,0.172811,41
28157.9,16524.3,121644,46641.1,32303.4,104181,71.4792,865.415,0.173816,42
68324.2,40414.5,126938,64761.7,52129.2,102889,96.4026,431.054,0.179205,43
38556.2,21360,124688,53953.5,39040.3,103916,75.3389,214.424,0.180062,44
41568.3,22778.5,121591,63538.5,46191.2,107960,145.275,397.432,0.1815,46
41178.8,22484.8,122136,58103.9,43824.3,105272,71.9472,303.977,0.183706,47
40654,22740.7,125599,59028.8,41010,134856,169.631,270.968,0.189254,48
32022.3,16844.9,121130,51530.7,38821.5,102959,212.543,473.369,0.19306,49
51491.3,29955.3,118083,39187.4,31607,95991.9,90.1678,283.912,0.195887,50
51490.6,30258.8,119377,48771.2,38694.1,101129,70.8356,362.985,0.198478,51
35212.4,20808.1,117884,53598.1,39150.9,103234,117.095,307.313,0.199319,52
45599.1,22588.5,132539,72947,44343.3,116948,129.323,384.174,0.201513,53
25308.7,14769.8,117512,52933.5,39467.3,102719,121.213,564.447,0.202738,54
70476.7,37987.7,131576,72145,49416.3,112226,117.907,549.025,0.215406,57
36398.3,20176.4,118511,56041.4,40308.8,102679,85.3266,487.944,0.221187,58
39031.3,20830.6,124099,75296.1,52630,109953,135.802,406.612,0.224951,59
34811.6,20243.4,117853,55981.8,42235.8,100937,82.9919,253.068,0.229903,60
45079.6,25351.8,117942,44515.1,34887.9,97523.4,93.0822,332.863,0.230064,61
30017.6,17099.5,113792,47726.6,36809.2,100101,139.963,356.599,0.246858,62
37771.9,20444.8,119234,53406.4,39297.1,102983,20.9791,201.294,0.246976,63
51736,30583.8,126513,62617.7,46213.2,105009,152.311,1240.19,0.249579,64
37362.6,23125.2,115235,34920.6,28583.2,92533.4,16.0599,319.63,0.255666,67
31436.3,18503.9,116304,62684.9,44503.5,106481,217.099,611.096,0.263428,68
36454.5,20037,125355,64458,49046.3,104699,179.675,560.647,0.267652,69
51239,25831.6,128248,75180.2,54023,110735,180.535,692.904,0.270452,70
44149,24248.4,126679,55759,40860.4,104038,93.1987,405.939,0.27063,71
73349.4,40220.1,127281,74982.9,56048.5,107154,188.441,645.302,0.276154,73
23692.6,14003.6,118435,57291.2,36623.5,110780,230.234,545.512,0.282834,75
42258.6,22275.5,130288,74777,55640.3,114985,100.652,383.809,0.28411,76
47380.1,25538,132483,96213.1,69310.3,114995,160.604,396.861,0.284347,78
30147.6,16510.1,114242,46782.6,36576.7,98354.4,36.39,206.864,0.285881,79
50238,31639.3,114080,39932.7,33225.7,93230.9,42.4364,187.099,0.287216,80
70565.6,37571.8,133665,75346.1,53688.2,112094,91.7418,466.319,0.289134,81
46384.5,23124.8,131702,81602.4,59621.3,111813,120.865,344.011,0.297309,82
32398.1,16217.2,124197,56957.6,40763,104876,120.517,427.961,0.300661,83
71582.7,36274.7,133855,79712.3,55788.2,111128,119.241,516.091,0.301834,84
28219.9,14969.1,117664,43936.6,31397.5,101039,95.1795,284.976,0.308606,87
51485.5,30778.5,118180,34742.3,26355.7,94104.6,49.3129,175.311,0.311386,88
41839.3,23905.6,121578,68405,50133.6,104494,160.892,1583.36,0.317296,90
39836.4,22553.7,118373,36769.3,30393.5,94260.8,133.893,166.166,0.319174,91
61804,35909.8,129231,63777.9,53296.6,103349,102.339,809.235,0.32016,92
42205.5,25322,121307,46012.4,35435.5,104803,73.9357,426.052,0.3228,93
42439.5,22832,122616,49236.1,35237.6,102435,141.695,360.317,0.32383,94
32367.8,16939.3,121743,47990.2,36288.8,101563,89.7014,368.109,0.332425,96
54191.8,28397.1,129327,72570.3,54176.8,110753,169.689,410.807,0.340488,97
39201.6,22247.9,114617,40031.2,31068.7,96909.1,56.1304,414.74,0.357134,99
36933.6,19770.5,121330,64475.1,45188.3,107624,99.0226,323.904,0.359424,100
33767.4,18034.9,118243,55956.8,40531.7,105388,164.171,240.31,0.360034,101
43342,24785.6,124420,52046.5,38210.9,104139,209.294,1054.98,0.373996,102
44955.7,27962.3,114296,42168.2,34529.1,92676.3,77.8521,315.563,0.374186,103
37837.5,21401.5,121291,77967,58325.2,113436,185.521,384.122,0.379537,104
59004.9,30305.4,131769,87374.8,60365.2,112523,130.191,821.149,0.381899,105
21054.2,14474.4,100436,71645.2,58263.1,99759.3,286.881,1893.86,0.385847,106
49446.6,28392.3,122145,50700.9,39109,100901,110.419,1152.83,0.391519,107
67088.8,38275.1,121927,50797.9,41066.3,98113.4,104.084,702.911,0.400781,108
29837.3,15606,119951,57343.9,38729.7,108029,172.56,588.023,0.406602,109
28221.2,15322.3,123324,75670.2,49359.2,116330,171.527,468.006,0.409113,110
50134,30153,116330,45591.4,35286.2,97659.5,43.0291,302.864,0.409401,111
77885.7,43405.5,127285,69781.3,54930.4,103093,154.04,529.264,0.428877,113
51537.2,29874.7,119966,46412.6,38606.2,96773.4,51.2099,287.634,0.434059,114
41904.1,22915.3,124520,48529.3,36030.9,100586,108.851,258.792,0.44329,115
42560.8,22298.4,127199,64149.9,49267.3,106617,100.303,363.456,0.443926,116
28073,15638.3,117201,36478.8,27794.1,95521.8,54.8261,330.072,0.444378,117
24286,12695.7,116813,47993,34955.3,103146,59.0353,211.995,0.452049,118
47871.5,28193.6,123858,64985.1,49342.2,104763,86.3185,432.136,0.454551,119
54995.2,30043,123900,54741.8,42042.4,101119,106.352,390.314,0.455364,120
38123.6,22247.4,117763,40115.2,32322.5,93905.4,73.7018,319.049,0.457225,121
20044.8,13088.4,108063,60863.2,47476.2,102839,107.108,792.503,0.459106,122
24525.8,13898.9,112353,47999.2,38248.1,98030.9,105.887,476.277,0.471015,123
39553.6,24618.3,117125,43123.4,35458.7,95702,105.305,231.23,0.476639,124
62392.8,32899.4,137293,81044.5,58222.2,113852,209.18,660.551,0.479008,125
20405.5,10515,117076,63705.3,45977.9,110249,141.464,242.778,0.479023,126
67929.6,35674,130802,78334.1,60181.4,110038,192.79,1861.3,0.483195,127
52654.5,28239.3,129013,83006.5,64367.6,109888,138.749,1103.85,0.48728,128
64712.4,35263.6,127368,68528.8,52210.9,104505,170.723,748.607,0.488852,129
65025.6,35174.1,129770,71303.7,54602.8,106377,136.9,488.758,0.49147,131
58191.3,35136.1,120302,44904.1,34266.8,97093.3,135.686,326.172,0.497402,133
44927.8,24460.9,128506,84194.1,63314.7,111143,149.428,295.812,0.512382,136
67047.5,35658.3,134256,84822.7,57124.5,114305,216.815,449.465,0.513,137
22524.6,11236.6,121992,62151.3,34645.5,116553,173.594,344.799,0.513176,138
41448.8,23902.9,124366,53604,39201.1,104658,78.3196,369.258,0.515044,139
53914.7,31817.8,122008,52354.5,37048.6,103047,101.99,176.78,0.515334,140
36033.6,20269.3,117953,50022.2,34400,103688,110.419,248.515,0.516792,141
41451.8,23001,121483,49250.6,37042.7,100897,85.7934,278.59,0.521074,142
56996.3,28019.7,137937,105269,74929.4,120729,230.802,532.136,0.527598,144
29185.7,17734.1,120994,61670.7,43667,107921,151.792,514.776,0.529071,145
49552.4,25476.9,128355,77730.7,49787.4,111749,136.553,787.419,0.531931,146
35822.5,20739.7,116287,60488.2,50148.5,101720,86.0268,707.147,0.537506,148
57432.6,32982.8,124968,56638.4,41779.9,103264,104.259,596.641,0.540723,149
45484.4,23797.3,129409,69930.8,50245.5,108287,136.726,345.114,0.543881,150
20113.6,12799,133635,66636.2,34116.1,136614,177.209,317.887,0.54434,151
64225.1,35405.7,127836,67760.4,49163.7,109764,153.002,529.264,0.547439,152
32266.6,17211.4,127378,80263.5,51908.5,115817,138.691,656.315,0.550693,153
60090.6,31922.1,129158,63475.3,49060.1,106453,109.839,355.29,0.551767,154
63552.9,33730.5,131100,89388.1,71364,108481,235.002,620.309,0.575013,157
42960.5,27020.5,126925,66986.4,50727.1,108267,156.113,422.904,0.576771,158
42515.7,26479.8,120259,41243.5,32903.2,96131.4,0.592567,256.814,0.579166,159
26484.1,14760.8,118224,49139.1,35014.2,103925,208.495,289.069,0.593161,160
43586.9,25152.5,127580,74449.2,52276.5,111334,167.907,429.095,0.594606,161
58714.5,29445.5,135020,95725.7,67818.2,115538,236.42,1137.63,0.598447,163
32372.8,18094.1,117960,45555.4,35006.1,101112,168.654,362.253,0.6018,164
51500.5,27725.2,124800,65174.5,52132.4,103568,91.9166,951.141,0.606029,165
41305.2,23166.8,119716,66616.3,51702.9,103715,113.149,461.715,0.608214,167
28507.2,14628.8,127382,52952.3,38120.4,107630,119.531,312.656,0.620368,169
35492.1,18631.9,121663,63835.8,47581.4,104969,135.166,326.436,0.622247,170
23248.6,14145.8,119544,59458.2,43351.7,111215,153.463,272.888,0.624106,172
36458.1,22883.6,122470,50354.5,33152.7,107068,114.774,391.509,0.625463,173
45276.5,24879.7,122617,46436.2,34370.7,99450.6,53.4626,219.87,0.631519,174
36055.8,19773.3,121767,51754.7,36916.2,104273,94.8883,283.38,0.637521,175
40996.7,22544.6,123805,65036.5,54361.4,102970,189.528,316.408,0.643583,176
34392.8,19063.2,120690,38623.8,29634.7,96876.7,36.805,209.349,0.64579,177
59110.2,34971.2,120678,52993.5,42252.3,96239.7,96.985,771.27,0.657068,180
27629.6,15827.6,117878,46671,32951,102978,81.5322,398.989,0.657275,181
41636.4,24210.9,118659,54328.6,41030.9,99827.5,85.3266,240.202,0.659792,182
41280.5,21869.2,121594,62169,45148.8,105505,132.274,1728.98,0.662573,183
61132.5,32056.9,128914,80059.1,60679.2,107587,147.583,309.324,0.670887,184
47079.8,24873.9,128073,86757.9,63609.2,111957,192.218,418.307,0.675734,185
54126.8,30736,130309,58010.3,41626.3,105324,107.572,435.329,0.681752,186
51973,30818.4,117794,55292.9,43440.9,100559,109.316,401.272,0.681949,187
35896.3,19236.6,120298,64322.9,48544.4,103620,195.02,588.719,0.682475,188
47891.1,24492.2,127106,52199.3,36350.5,104671,73.8772,296.237,0.6891,189
37125.1,20623,117027,43968.5,31966.2,98190.9,66.2701,658.01,0.690677,190
23173.2,13309.4,111598,35261.1,25899,97021,116.225,581.208,0.691573,191
64466.9,35798.1,125071,49860.8,36693.8,100843,85.6767,456.337,0.697589,193
57313.3,33466.2,121371,40696.9,32669.3,94333.8,45.4596,193.443,0.706585,195
53297,27713.9,126399,48705.3,35687,103845,81.9994,375.887,0.706657,196
42551.9,22048,130552,80532,56077.2,115270,244.355,562.347,0.70705,197
35284.3,20481.9,124014,61177.2,34857.2,112200,74.5204,344.904,0.708087,198
33591.4,18004.4,124156,57731.8,43746.7,107125,69.1971,300.585,0.708681,199
52856.9,31558.5,120829,39920.6,32066.8,95568.6,82.8168,415.774,0.712064,200
30436.8,16777.6,115579,38678.3,29290.9,96246.1,70.8941,474.339,0.72279,202
40719.8,23077.2,123925,63963.7,45003.6,108618,128.454,196.802,0.723411,203
81358.4,44208.9,131534,76988.1,56302.2,109830,144.697,516.546,0.724746,204
35559.5,20074.2,123979,59636.9,34140,114664,162.1,376.305,0.729312,205
38050.1,23363.7,114560,49992.6,37153.4,107606,122.546,234.993,0.738056,206
48588.7,29790.5,121086,57129.4,49327.8,101042,139.154,495.417,0.740414,207
41273.6,23989.2,120973,40343.9,32262.6,98816.3,90.5759,317.782,0.745336,208
29660.2,16850.3,115500,39815,29944.1,96672.3,119.589,368.109,0.760092,211
59095.5,31016,132632,74060.6,50912.2,114119,127.644,361.625,0.761063,212
37439.3,21746.6,117602,41195.6,32312.3,96604.3,89.1766,431.002,0.762479,213
26434.1,16205.4,121648,55817.3,37385.5,107879,86.2602,338.125,0.765862,214
