"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "BB515-A", "APC-A", "Time", "Event #"
27217.6,14114.4,116360,51055.7,37336.9,103861,123.183,577.124,0.397754,0
22657.8,15140.9,114747,47999.1,31332.4,107862,99.7793,1198.36,0.398639,1
39958.1,20485.9,129507,85469.9,59012.6,116884,146.544,957.336,0.398819,2
34022.3,17234.5,123465,62799.2,45297.8,109927,178.872,341.699,0.403826,3
54547.9,28503.4,126917,63623.1,45001.1,107581,198.621,693.38,0.418075,5
29073.8,16265.6,122581,68415.7,51765,108039,161.87,247.55,0.418117,6
74081.4,39735.7,128463,64499.6,48015.6,104355,107.572,297.987,0.42066,7
47234.6,26705.4,135052,88954.5,62756.6,117797,223.472,619.303,0.421975,8
53486.7,31048.3,124660,62347.8,40713.3,109977,127.759,372.652,0.422807,9
45849.6,29135.6,135070,93785.6,57575.3,124701,269.721,497.753,0.440795,13
32454.5,24643.5,105561,38435.6,33711,88638.7,222.278,612.737,0.442857,14
47446.2,29516.3,118211,39560.5,31391.7,95932.6,123.995,939.915,0.445979,16
33097.1,17928.8,124305,59203.9,41391.9,108038,101.758,348.421,0.446998,17
66901.4,34332,134771,62889.8,42501.8,111019,84.8014,297.775,0.448016,18
29126,17246,111927,36302.1,26676.3,96828.6,54.589,259.541,0.449665,19
29691.3,16729,120380,52418.9,37151.9,107332,126.775,299.684,0.457953,20
20700.2,12404.5,107774,31214.9,20900.7,96384.2,85.0348,314.823,0.471427,22
28872.2,14970.8,125877,76603.8,53274.4,113815,187.868,373.383,0.477325,24
64931.1,37923.7,124832,64526.9,49804.2,100611,111.349,327.068,0.480723,25
58502.9,32557.3,124372,47744.3,36270.6,98487.7,109.2,439.549,0.482431,26
24943,13701.6,112340,49857.4,38935.3,99481.4,13.2744,171.013,0.485727,28
39934.4,20264.2,127836,69804.9,41266.2,114499,79.488,248.944,0.488264,29
53119.3,30817.9,127115,73433,56107,106997,194.734,343.591,0.493591,31
40047.9,21461.6,120379,58293.2,44054.4,104175,77.1509,260.557,0.499614,32
24542,12589.6,119665,68594.8,46158.1,110813,223.87,524.121,0.505714,33
45253.7,24798.6,125417,65906,50716.1,105336,103.386,275.287,0.509869,34
29311,15245.6,117618,48778.5,36766.9,101100,76.9171,261.465,0.513783,35
21125.9,11364.2,124163,58490.7,40072,111057,163.883,429.869,0.515576,37
34409,19004.5,119344,39129.2,31593,94570.6,62.296,284.018,0.52281,40
35562.9,18189.8,128546,82600.5,61418.9,112046,156.977,464.478,0.524337,41
65195.8,32464.8,134685,82181.6,58681.6,114031,147.756,435.587,0.524477,42
26504.9,13807.6,119952,46209.5,36375.9,101359,70.8356,397.172,0.535883,45
20536.1,11196.8,117823,44715.8,33229.6,105024,182.197,252.532,0.537461,46
41923.6,21581.2,129427,66929.5,44460.5,109163,167.045,2681.12,0.538598,47
31389,17420.5,118370,43016.4,30629.8,102779,111.058,425.536,0.542111,48
