"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "BB515-A", "APC-A", "Time", "Event #"
53354.4,29087.3,128321,69296.4,52045,110692,164.401,303.182,0.459841,0
48349.6,26507.3,124072,47834.2,35362.4,103004,100.71,420.115,0.48616,1
61278.7,30821.5,147721,107696,69552.8,126324,279.968,738.017,0.492729,3
46544.1,27199.6,130392,63156,38268.6,115123,173.536,661.769,0.494188,5
39671.8,29827.9,105220,27484.4,25573.7,80857.7,118.835,356.128,0.494866,6
31206.2,16668.1,117035,52142.4,40765.7,103439,90.984,656.792,0.495932,7
32034.8,20440.3,119700,46703.1,33768.5,103878,140.367,338.125,0.50674,8
69074.3,37152.8,135294,58704.8,42084.6,108461,206.271,318.521,0.507715,9
64712.1,36581.4,124601,49627.3,38759.6,101884,114.252,428.322,0.513326,10
37305.8,20523.9,118221,70714.8,54927.2,104638,117.501,1034.7,0.516711,12
46644.1,27031.5,118234,49196.6,37593.5,99805,93.5483,276.938,0.526588,14
63394.7,34550.5,124320,51924.4,36296,105624,85.9684,274.594,0.539854,15
46405.4,23373.5,128384,65882,49938,106455,176.463,481.784,0.554079,17
49440.5,26814.7,123938,45264.8,32860.8,100306,80.8899,380.944,0.559805,18
51366.9,27764,126546,59708.3,45956.5,104743,102.107,416.705,0.560027,19
40091.3,24730.8,111470,31127.6,24179.4,92380.4,75.6897,355.866,0.564608,20
54478.2,27600.6,129142,77752.2,51074.8,112189,193.876,554.389,0.566817,21
47533.7,26576.5,121239,49869.9,38822.2,101386,91.2172,438.417,0.585187,23
21449,12923.4,107772,38340.8,29071.3,96282.8,56.3082,235.96,0.59055,24
50118.8,29025.5,120430,32384.7,24150.7,96141.1,105.131,642.866,0.609175,25
61291.1,35600.9,121076,41403.1,31159.2,97742.7,131.811,550.429,0.609262,26
25851.6,14076,119964,60917,37680.9,111390,189.185,349.418,0.61488,27
43366.4,26273.5,114868,32882.1,27357,89652.7,127.47,335.021,0.614948,28
26319.1,12908.7,121554,56286.8,41928.2,107387,238.972,289.706,0.614975,29
63481.9,33807.7,128301,54273.9,38661.1,104689,128.396,560.347,0.623766,31
83845,43411.7,135709,72753.6,47750.6,114328,166.643,640.06,0.628782,33
43941,24739.1,117818,38707.7,31922.6,94407.1,49.8464,354.661,0.628955,34
80028.4,40536.6,135557,72945.9,49773.8,110215,274.509,533.848,0.630749,35
27806.1,14363.7,120567,72936,50576.2,115434,172.503,434.66,0.632683,36
