"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "BB515-A", "APC-A", "Time", "Event #"
31012.4,18090.6,120351,67901.5,52837.1,107443,134.761,242.939,0.0392696,1
60663.6,33689.3,127393,62625.3,51299.8,100526,185.921,1282.61,0.0470054,3
65579.4,36959.7,128350,77055.4,59980.1,106610,110.013,380.423,0.0494838,4
49681,25897.1,126854,59126.3,45826.9,105581,77.0924,394.316,0.0565104,5
40208.4,23564.9,118134,42116.6,31556,96971.9,81.1819,256.172,0.0582378,6
33279.7,18906.5,120578,41564.4,28416.8,101113,23.7055,167.038,0.0613228,7
69775.9,38754.5,125350,51874.2,39227.5,100026,62.296,173.734,0.0636262,10
36209.1,18430.1,128373,73975.3,47440.4,114130,218.067,350.257,0.0657306,11
45396.6,27369.5,120401,38117.1,27853.5,96792,34.6117,634.235,0.0673129,12
69272.5,36896.7,134805,79485.1,51846.9,115701,141.06,525.987,0.0727932,13
40799.7,25243.3,116845,29706.5,23915.8,88462.4,54.8261,598.706,0.0786965,14
65537.6,36069.2,126946,56370.4,42611.5,100809,104.084,349.89,0.0826163,15
62742.8,35815.6,121908,53404,43311.1,97867,49.965,409.254,0.0884961,16
53405.6,32306.1,118244,29385.4,22877.2,92742.9,81.4738,938.168,0.0905626,17
70391.1,41654.9,124320,57321.9,45253.4,99377.2,63.4817,345.429,0.0941184,19
65396.3,34180.3,129206,66854.4,50802,106976,115.413,318.785,0.101472,20
68769.1,36257.4,130542,56773.5,40121.8,104950,92.208,340.386,0.101638,21
38926.6,19850.8,125349,48577.8,36878.6,99809.6,99.4883,311.387,0.104778,22
33223.5,18383.8,126924,67385.8,42005.3,112924,81.941,292.628,0.108661,24
28005.6,16065.2,113436,37123,28438.5,96378.4,49.1943,324.274,0.11046,26
44487.8,26580.9,118925,37371.9,31294.9,92779.5,35.9751,413.188,0.11297,28
48786.8,26684.5,125129,52784.9,38762,103854,62.4146,277.365,0.1169,29
45585.6,24225.3,124141,44990.4,35658.3,97773.6,78.9038,364.606,0.11923,30
61229,31973.6,128282,58162.3,41635.4,107025,124.168,258.632,0.119785,31
27926.2,16450.9,115693,40533.7,30709.3,97373.8,85.8517,233.542,0.130053,32
56130.8,35352.3,120617,53288.8,43129.1,97860.7,98.2077,1090.35,0.130553,33
40818.4,22013.5,125231,51757.7,35303.6,106809,25.4244,615.279,0.130705,34
47872.1,24693.6,126995,72593.5,54142.8,110562,89.4681,598.547,0.143876,35
35506.9,20233.5,117071,50300.5,35709.4,101345,74.4035,183.354,0.147699,37
40468.8,24184.2,119903,47233.2,35569.4,98341,63.8967,191.058,0.148131,38
32513.5,14234.7,135919,62158,38124.2,121391,74.8127,343.643,0.149335,39
66729,37137.5,126316,58039.2,42610.9,102749,119.067,554.94,0.151844,40
64080.9,36716.2,121899,40389.8,30924.3,96985.3,79.8969,321.108,0.153197,41
46629.1,23176,129079,64527.8,43613.6,108763,147.929,273.635,0.158305,43
74382.4,40986.3,128827,78917.3,65109.8,102684,77.7353,344.799,0.158324,44
34575.6,17042.1,139389,68732.1,42539.6,117110,167.103,2080.25,0.162312,45
51362.5,28921.9,122148,41824.9,30116.1,98476.2,70.0749,190.679,0.16549,46
