"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "BB515-A", "APC-A", "Time", "Event #"
63920.8,35452.8,125167,49847.2,37984.7,100165,63.0667,268.941,0.018437,0
53773.4,29716.8,127292,49928.7,34705,103997,29.7512,211.185,0.0194539,1
41494.5,22613.7,124783,51389.8,37649.3,102961,35.8565,386.62,0.0415655,2
25455.1,14941,113762,38292.2,24758.2,101341,54.5297,159.351,0.0462492,3
32611,18511.1,119493,53344.9,41518.4,103473,102.281,348.945,0.0601842,4
32516.5,19967.8,111948,35381.4,28299.9,94024.4,6.22215,465.501,0.064041,5
44536.3,24114.2,120115,40216.5,30815.3,96502.6,38.0498,245.031,0.066045,6
40222.1,25181,112149,31486.3,25819.6,88197.5,57.1382,230.639,0.0681946,7
34355.7,19679.7,121374,53261.8,36886.3,105177,89.818,213.344,0.0683537,8
61248.3,36213.3,120757,44508.4,36336.1,96155.8,96.752,466.063,0.0733238,9
50571,28663.2,127037,65807.9,49543.6,103675,83.0503,339.544,0.0782522,10
50381.1,25142,134093,59277.5,37700.2,113886,77.9106,1383,0.0792486,11
32505.6,17491.7,120555,56033,43673,101272,115.877,250.497,0.0817627,12
49946,30673.6,114235,40283.9,33405.7,92944.2,99.9539,291.725,0.0915442,13
76748.3,42375.4,136434,70595.4,52830.6,110377,111.407,512.652,0.10175,15
33602.5,18498.1,115072,36839.3,29355.7,94475.6,49.8464,152.527,0.102081,16
60272.5,34831.3,121728,48059.6,39307.5,95368.8,50.8542,458.592,0.113767,17
47309.1,25924.1,124748,47282.4,35238.7,100563,54.3519,276.619,0.113986,18
49425.7,29987.4,123807,47540.8,35654.1,100118,59.7467,730.604,0.128544,20
36003.7,18853.1,120997,49835.3,35060.8,101391,175.775,269.048,0.132797,21
29241.8,16992.8,117509,40119,29771.9,96968.5,33.367,211.455,0.133049,22
57894.2,32060.7,131613,84342.8,62881.4,113752,58.6796,559.596,0.137796,23
40419.3,20993.5,123899,51350.7,34735.3,104513,184.203,676.33,0.149995,24
49872.5,28641.9,121926,45970.2,36055,97448.9,121.213,233.327,0.164534,26
40495.2,23969.8,116404,28540.6,23055.4,90600.8,23.7055,141.151,0.167555,27
31141.7,18366.4,119578,54617,39666.2,105252,80.7731,353.665,0.168479,28
60810.9,35670.3,124780,78840.2,59059.6,105484,63.0075,1332.91,0.176001,29
33311.3,18284.9,124546,60321.8,38166.3,110232,106.991,431.157,0.184612,30
48270.4,27092,119797,49978.6,42309.4,93842.5,63.0075,319.26,0.189763,31
58358.7,32727.7,128211,55500,42045.1,103323,77.7937,422.13,0.197064,32
