"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "BB515-A", "APC-A", "Time", "Event #"
41462.8,24287.1,127538,60371.2,36980.7,112605,110.768,805.687,0.0074284,1
21394.6,12503.1,116852,59491.3,42246.4,107122,226.371,437.8,0.0137449,2
26116.8,15336.9,117986,54179,38276,104849,130.422,443.714,0.0817941,6
27545.1,15276.1,117786,39486,29965.6,97645.9,101.932,391.198,0.0882351,7
47232.3,24380.1,139718,79285.1,46333.1,120032,160.719,326.91,0.101136,9
22882.4,13253.3,114626,56450.2,40739.4,105277,46.7638,249.319,0.108344,10
23329.3,12057.1,126958,59563.8,38172.3,113216,212.087,262.213,0.117549,11
25459.3,14871,117842,53956.4,35491.7,107014,61.2289,211.023,0.148217,13
25546,13938.7,119933,47190,30469.4,106836,122.662,423.73,0.173607,14
31832.9,16798,132401,82019.2,51692.1,117522,133.315,711.171,0.195064,15
32222.4,17292.6,124050,55191.7,39166.4,105422,104.143,179.389,0.219972,17
31392.8,17920.4,140437,83669.1,54731.8,120854,170.952,290.503,0.220693,18
23061.8,11147.1,120257,65572.6,42710.6,112020,152.253,473.777,0.240826,19
22218,14729.7,113532,52784.7,37551.7,104369,157.496,223.75,0.263789,20
30639.1,15286.1,135246,82582.3,45915.3,124983,103.27,253.335,0.270762,22
60325.5,36214.9,123989,39082.6,30963.1,96504.7,113.904,363.351,0.273409,24
30861.5,18081.9,123739,37077.9,27871.4,97715.7,54.589,555.491,0.280232,25
28949.8,13730.2,126641,61179.7,43277.3,110694,129.67,298.677,0.315247,27
65447.6,32203.1,138930,94714.7,61289.5,118546,102.63,475.665,0.329763,28
20215.1,11047,115784,49010.4,37449.6,101340,129.67,151.816,0.33561,30
33882.5,18153.1,121012,50258.2,36706,102955,111.639,269.528,0.348157,31
25321,17063.5,119387,55864.3,36895,109914,156.747,322.005,0.376264,33
31575.1,17929,121326,47692.4,34944.9,104894,87.9519,373.487,0.389258,34
31030.5,18164.2,114076,40014.6,30657,97139.9,104.026,277.897,0.39101,35
29717.4,13660.4,128651,61346.3,33657.2,118267,179.216,396.861,0.391029,36
25009.4,14632.6,124433,50898.5,36155.4,106790,81.5322,263.068,0.392057,37
27134.3,20229.3,100299,31167.2,29270.6,83519.8,117.559,588.023,0.405289,38
25858.7,13301,121674,62074.7,44077.3,108312,94.7135,231.714,0.406407,39
26925.1,14444.7,124108,65521.2,43992.9,110333,148.679,379.746,0.409688,41
55682,34817.5,119812,49261,38922.8,98401.2,133.604,541.493,0.41471,42
30729,15142.1,126815,61083.7,38736.9,111894,175.086,562.047,0.43455,43
29623.3,17465.7,124953,63868.3,45405.5,110878,126.485,239.719,0.451093,45
29843.8,17709.8,115485,39975.4,31121.3,96563.1,42.1992,220.248,0.453372,46
27944.8,13909.8,135873,77423.5,46320.6,120833,163.193,584.493,0.453408,47
21878.1,10700.9,119571,64856.2,44085.8,109769,101.816,290.078,0.455711,49
22519.4,12883.3,117689,58996.7,43192,106270,110.594,233.811,0.458583,50
37643,22286.1,124326,40091.9,25886.6,102599,95.5873,248.944,0.471825,52
30663.6,16301,120890,45170.4,32256.8,102531,83.9259,280.347,0.474796,53
22371.7,12572.2,119875,52899.1,41013.5,106534,33.1891,313.66,0.478975,54
23042.7,12700.4,115611,51133.4,37252.4,104531,94.7135,507.235,0.493652,56
36457,20498.6,129000,85271.1,54378.7,120121,172.101,367.743,0.523406,59
55610.6,29841.9,131057,65499.4,47667.4,106805,91.5086,406.146,0.599415,64
39430.6,21300.8,127206,52775.8,39198.4,102881,92.616,285.295,0.654869,66
34365.3,18659,124686,54848,31974.1,112531,91.4503,595.899,0.683473,67
38544.7,21554.8,118272,30109.1,23696,92989.7,36.4493,186.231,0.69695,69
36901.1,19669.6,125023,62282.6,37395.1,109703,95.1795,286.837,0.702453,70
52129.2,30856,134833,72774.6,51258.1,113954,178.299,433.012,0.718363,73
48852.6,26543.6,140837,56279.2,32844.1,115074,135.859,476.686,0.72244,75
33601.6,17104.7,123912,69737.8,50103.4,107476,76.3911,362.881,0.728764,76
35643,18548.8,125275,45224.1,30228.9,104778,119.415,407.907,0.735458,78
44048,24045.9,123490,54565.5,42010,103698,108.444,507.944,0.73752,79
25986.4,12698.3,123899,73783.5,47409.5,116773,134.876,881.988,0.742089,80
45420.3,27119.5,116621,31102.2,24572,89771,17.2452,231.822,0.746637,81
51331.6,26532,134562,81030.2,53234.8,115019,104.026,413.86,0.752912,82
27900.1,14461.9,124435,63439.3,43200.3,110887,96.9267,330.546,0.760663,84
47962.4,24783.1,133899,67949.1,42413.3,118897,136.38,445.974,0.764724,85
30074.3,15859,121473,61332.9,41812.1,110567,72.2396,196.856,0.77547,89
36720.1,21866.2,124528,50189.6,35039.6,104435,85.0348,229.939,0.78082,90
21214.6,10929.8,128824,44086.6,35979.4,100269,81.7074,243.583,0.785991,92
23039.7,12341.3,114483,40162.6,27445.9,102896,97.9166,258.258,0.788042,93
35144.9,18950.1,120841,55704.9,38226.9,106904,92.8491,367.429,0.794532,94
39620.4,21502.8,124855,70662.4,48010.6,110962,159.338,287.368,0.80231,95
46044.9,25042.4,125623,45059.2,33502.2,101413,58.7982,539.281,0.80422,96
39007,20943.1,121566,50517.7,38105.5,100064,43.2663,336.863,0.807689,98
37326.7,23254.2,121958,57401.4,39948.6,106359,75.7481,247.658,0.809105,99
30983.1,15636.3,127995,65040.1,47125,111506,77.3847,594.893,0.82409,100
37590.8,19700.8,123794,68280.9,48705.3,107927,79.3128,399.508,0.834511,101
41117.7,20528.7,130929,71851.2,47010.6,114588,122.256,296.555,0.848724,102
60583.9,36745.1,121708,73808.7,54609.7,105107,282.948,1984.83,0.850654,103
26563.8,17293,114253,59503.6,43131.9,106428,198.678,479.388,0.85144,104
34548.6,17984.6,120127,45934.9,35216.2,99310.3,81.7658,355.709,0.862567,106
31505.3,16570.3,128364,60422.7,36042.7,114868,156.574,556.242,0.872354,107
23218.7,13008.7,111297,49653.2,36265.2,100837,160.719,296.555,0.874316,108
21501,11906.5,114775,32528.3,21885.4,99726.5,12.2076,193.822,0.882611,109
65362.4,34364.2,134864,75755.7,52824.2,111633,131.869,746.86,0.889583,111
45590.1,24183.1,127115,46452.4,34370.2,103587,66.7385,450.646,0.890453,112
72225.2,38629.6,128621,60962.1,45091.5,104680,139.558,618.88,0.890477,113
32688.5,18276,121081,50556,35641.9,107832,139.211,231.338,0.892916,114
27525.8,16755.4,128659,61860.8,47855.9,106804,110.187,369.049,0.899849,115
27089.9,15583.3,122073,58784.8,40581.7,110048,89.9346,264.243,0.919391,116
39577.3,21955.5,124404,76241,56040,109551,219.661,491.809,0.927923,117
44403.7,23098.1,128089,67193.8,47094.9,111301,134.587,664.205,0.936055,118
22285.6,11940.9,123633,65079.9,45729.5,111070,114.31,292.256,0.950294,119
37755.4,19903.3,127995,72591.4,49145.2,113362,171.469,350.624,0.960801,120
44790.2,23000.1,128459,70403.2,48735.1,112362,181.395,591.352,0.973393,121
23572.2,14182.4,122031,66511.3,49489.4,110985,125.153,274.381,0.982046,122
43099.9,26615.4,114430,36237.4,29867.7,90815.1,36.9235,231.284,0.990251,124
52080.4,27990.3,140405,99769.3,65252.1,122511,131.753,522.405,0.997056,126
41812.5,20654.2,129067,67697.3,46350.1,111786,110.013,691.368,0.999022,127
38807,20090.3,131238,87217.8,60476.4,117677,250.412,404.747,1.009,128
49422.1,28886.1,117189,46469.6,37751.4,96237.7,48.9572,436.977,1.01009,129
33495.4,21918.4,125234,61743.8,45076.3,107911,94.83,389.326,1.01676,130
25792.4,14764.1,120012,73482,52387.9,111095,157.899,482.293,1.01894,131
40976,25340.6,129241,62385.6,40705.6,112720,137.593,461.868,1.05223,134
42357.2,23074,121373,39805.5,29780.2,97369.2,59.6282,203.944,1.05843,135
40629.1,22041.1,122653,51890.2,34525.7,106308,63.4225,279.921,1.06296,136
62781.7,35592.1,125085,55819.9,41581.6,103062,82.5248,274.434,1.06668,137
32772.8,17745.9,123769,58011.4,36699.6,110447,150.293,624.069,1.08263,138
48305.6,27104,128452,60801,49096.5,101506,114.832,275.393,1.10779,140
21266.2,16279.6,103605,38179,35403.7,86410.4,83.5757,382.663,1.10969,141
40876.9,23608.3,114579,34294.8,25612.9,93154,42.5549,255.958,1.11266,142
24720.1,14428,118636,55609.3,40237.6,104562,122.256,397.899,1.11467,143
29460.2,17709.8,129165,47166.4,26572.4,113965,66.2682,156.295,1.1278,146
47876.6,22930.4,137961,88410.3,54552.8,122478,122.662,483.261,1.13086,147
21908.2,12587.1,111771,37416.8,28581.7,97136.3,74.4035,211.023,1.16774,149
30647.4,15142.6,129682,64512.6,43108.6,112301,159.913,388.701,1.17737,150
24874.4,14196.7,116814,50389.8,34239.8,104607,123.241,238.699,1.19256,151
66310,35925,127930,73093.3,60498.2,104334,140.02,605.536,1.19839,153
21598.9,13237.9,131251,62465.1,46377,114460,207.811,330.283,1.21485,156
52009.6,29469.3,133887,90445.4,61555.4,117494,313.88,1122.43,1.22334,158
22078.6,13838.5,115128,38342.3,27976.1,100864,92.7908,287.793,1.24069,161
33779,19841.3,119688,43480.8,35038.4,100193,73.2924,264.457,1.24794,164
23634.1,14628.1,117763,55484.4,40032.3,108357,121.445,327.226,1.25519,165
47692.3,25988.9,128951,87846,58677.6,115045,197.649,363.038,1.25869,167
44155.4,21926.8,140218,74451.2,43037.5,124236,116.167,496.89,1.26333,169
24419.2,12508.4,125075,73187.9,44273,114807,198.392,370.407,1.27478,170
35971.2,17532.7,127682,72984.7,53076.9,110795,194.448,614.273,1.2859,172
20971.5,13322.3,109924,42436.3,32172.3,97095.4,124.632,372.182,1.29777,173
22048.5,11660,111878,37904,25907.9,100742,69.8994,131.505,1.30763,175
51345.8,28389.6,141447,98966.9,56231.3,125110,173.192,685.491,1.31345,176
25887.3,14081.7,115723,53417.6,39457.6,103935,130.306,319.049,1.31369,177
24905.3,14229.5,119526,46834.4,34669.9,103792,131.059,496.585,1.32317,178
26480.7,14716,118012,58363.8,41838,105404,155.192,367.691,1.3373,181
30202.6,15169.7,123926,69352.3,46850.6,111967,107.282,284.71,1.33799,182
28482.6,16477.4,120324,56327.2,40529.5,103234,124.11,240.632,1.34952,183
48809.2,29282.6,135114,67037,44356.7,112666,106.236,329.387,1.36,186
60479.7,31930.5,131281,65689.7,45562.2,110311,76.0404,288.644,1.36523,187
31641.2,16649.4,133592,79322.2,47164.2,120840,46.4674,304.453,1.36639,188
22532.2,12070.5,128176,68097.1,41954.2,121619,208.838,409.15,1.3707,189
38305.3,21950.2,121586,48925.4,36437.8,102905,139.731,379.172,1.37903,190
22035.9,12501.3,112295,36917.4,27317.6,99679.8,69.1971,151.98,1.38596,191
37553.4,19651.1,136488,87979.5,56634.2,120386,164.516,454.902,1.39535,193
33575,18142.6,144784,63603.9,34128.8,126769,147.813,628.199,1.40405,195
48448.4,26810.2,121853,40268.6,29888.9,97258.5,75.6897,369.571,1.4115,197
65589,36663.1,135303,92195.9,73482.6,113784,159.165,403.71,1.44296,199
38918.2,19153.6,138144,80888.5,54187.3,117957,192.904,1308.29,1.45324,200
41278.2,25551.7,115388,32056.8,24821.6,94233.6,52.9884,321.636,1.45359,201
34974.8,21612.4,114394,42925.1,34819.4,93447.5,48.8386,341.647,1.45634,202
26601.6,16074.4,110493,35556.4,27176.9,94553.9,149.198,311.175,1.46468,203
29899.7,18257.1,123825,50946.8,35431.4,106631,143.023,441.709,1.4655,204
24452.3,13648.8,112133,41831.1,32427.6,98117.8,64.9639,382.195,1.4766,205
34126.3,18028.9,121053,42242,26674.7,104796,100.361,1462.96,1.48966,206
45546.1,23310.2,130401,73248.7,51682.6,108269,77.1509,286.092,1.49202,208
32662.5,16856.1,130729,81279,45634.1,121677,221.823,436.616,1.54239,211
29099.4,15321.6,121100,57700.6,38787.5,110233,72.9415,246.8,1.54537,212
67126.6,38168.7,138196,81194.5,53979.5,114550,146.775,547.871,1.54804,213
48309.3,29099.5,135926,91437.4,62046.7,117948,147.525,478.827,1.55488,215
22872.2,11588.4,119845,48076.6,35188.6,104115,102.339,348.998,1.55961,216
52730.8,31151.4,117618,37922.8,29028.6,94032.1,64.786,634.976,1.58416,220
40098.4,22087.3,142929,91442,55091.7,121691,162.158,691.739,1.59088,222
59378.3,33460.3,125415,53702.3,42726.5,99182.4,136.206,436.41,1.59662,223
28721.9,16199.6,120857,43583.2,30113.2,103545,187.067,365.182,1.60041,224
23245.7,12973.3,110479,40521.8,31908.3,94008.2,89.2349,175.094,1.60348,225
25714.3,14326.2,127952,62496.5,34367.1,118293,96.4609,517.506,1.63969,227
30464.6,16967.7,117788,51587.9,40977.7,100384,103.27,591.55,1.64167,228
21045.2,10921.7,115173,41408.7,28697.3,102496,85.735,259.327,1.65372,232
35721.8,18753,124999,60668,47536.6,104825,146.429,535.811,1.65581,233
25684,11942.8,131146,52284.3,34430.2,110289,200.791,432.497,1.65626,234
32696.4,17770.2,123998,66767.4,44573.6,110668,94.5388,323.271,1.67035,235
53534.1,29725.7,121500,64128.7,47158.2,103652,178.413,685.014,1.6792,237
38127.6,22502.9,121219,49656.4,34144.8,105269,111.929,340.911,1.69897,239
23602.6,12483.5,114272,46571.9,34795.5,104043,68.3777,195.935,1.70686,240
21164.5,12971.7,117270,52086.6,39820.8,102067,163.193,529.415,1.7086,241
26316.8,14216.7,132290,61191,44005.6,116514,135.108,428.941,1.71026,242
25216.1,13288.4,120938,55950.8,40344.7,108073,177.84,283.273,1.72479,243
29960.6,15262.6,122076,53315.2,37676.7,105350,146.775,347.424,1.73133,245
41648,20673,128656,62789,47478.8,109716,101.874,377.504,1.73212,246
21208.6,11286,117434,43472,26952.4,107267,62.296,205.945,1.74274,247
35009.1,18354.6,120751,47616.9,35552,104977,126.717,448.131,1.74647,248
30191.1,16692.1,116179,55766.6,41942.9,103436,56.7825,274.328,1.74987,249
25930.9,13492.7,121133,45759.9,30027.7,105184,85.6767,295.122,1.76052,251
54412.3,27380.7,131040,86022.7,59775.2,112103,224.495,1406.56,1.76312,252
57432.9,32536.9,125156,47481.9,35506.6,102482,135.975,630.635,1.76517,253
28141.6,14618.4,119950,56620.5,38822.8,108688,146.486,757.767,1.76851,254
22654.7,11558.1,116266,36734.5,26837.9,99953.7,60.5767,176.181,1.76886,256
23365.9,11848.3,116341,39323.5,26696.9,102850,110.71,725.256,1.77292,258
26903.6,16057.1,117503,71135.5,56635.1,106843,139.096,315.246,1.77298,259
30593.1,18017.3,128400,66223.6,46880.7,111846,83.6924,317.465,1.77317,261
38953.7,20154.2,130800,85044.8,54950.3,119513,143.081,404.228,1.78382,265
79061.9,41284.7,134788,74998.3,57003.6,107614,123.473,2009.45,1.80192,266
22106.4,12940.9,113395,39703.5,29018.5,97835.4,109.083,268.674,1.81571,267
65432.4,38665,121403,42398.6,35371.6,93305.6,102.165,286.571,1.81767,268
42118.3,22264.3,126637,62132.3,42745,110153,197.535,326.488,1.82135,269
30605.8,18849.8,120686,67109.5,52390.4,105499,134.703,390.418,1.82381,270
43918,24196.3,125365,51908.6,38462.3,102601,117.153,441.915,1.86061,272
22036.1,12765.2,108249,38962.5,32110.1,93304.9,87.6602,431.054,1.87824,273
34520.6,19350.8,131476,68697.4,50888.7,110329,157.323,442.12,1.87966,274
26327.7,14284.3,113376,37970.1,28984.6,97144.1,105.422,431.569,1.88517,275
36900.1,18974.9,124660,50222,36605.6,103582,95.8203,592.792,1.89,276
21569.7,12425.8,107729,35813.9,28724.2,92930.2,73.2924,794.568,1.89782,279
36039.7,19789.1,119526,55203.1,44721.6,98258.6,184.203,538.125,1.90065,280
26550.6,13792.3,117305,40411.2,30858.9,97637.6,63.3632,188.13,1.90791,283
29696.4,17069.1,119954,58715.8,45168.1,105475,145.621,279.388,1.91904,285
33821,19350.9,127310,82575.1,59570.1,111906,147.006,480.255,1.92099,286
25194.8,12996.7,118331,42133.4,28368.7,104132,101.641,363.874,1.9368,287
37767.9,20281.8,127367,70323.1,53859,108632,229.893,571.289,1.94437,288
21310.9,13017.9,111955,35414.8,25469.9,100134,114.484,253.335,1.94738,289
28881.9,17256.9,116265,45438.6,36528.7,98855.2,20.8013,227.572,1.96202,291
29509.8,16606.2,127153,78769.1,56899.2,114041,235.456,404.954,1.96219,292
47837.8,27526,127654,59200,43127.9,107682,96.5191,287.687,1.97627,293
26140.6,17955.2,123454,63415.2,45324.6,112002,120.517,278.27,1.98542,294
27239.7,17223.3,124424,70545.6,48054.6,114643,161.64,387.349,1.99237,295
25759.4,12756.5,124525,61713.5,45307,110804,86.3185,291.512,1.99494,296
34433.5,21141.1,127146,77416.4,53645.6,110184,154.904,453.569,2.0052,299
23214.6,14026.2,116741,50598.6,37867.4,106784,122.256,445.666,2.01624,301
20323.9,10998.2,111920,46647.1,32148.9,102890,95.8785,654.25,2.03661,303
32542.2,24298.4,104898,41949.4,38453.2,85924.8,149.947,574.98,2.03708,304
27816.7,15587.7,111632,46265.1,34289.4,99920.3,112.742,298.836,2.04168,305
29335,16936.9,120995,54121.8,41429.3,104373,108.154,220.302,2.05653,309
29632.6,16055.7,126719,69316.5,53154.3,111770,214.708,655.574,2.07365,310
