"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "BB515-A", "APC-A", "Time", "Event #"
63034.4,34387.4,128297,43627.8,30747.8,103331,137.709,194.906,0.00497864,1
36877.4,21376.5,128450,58092.6,44340.4,102891,58.6203,251.193,0.0072348,3
36881.9,20575.3,124497,29443.8,22483.6,92840,49.4907,192.901,0.00803064,4
27673.9,14396.4,130886,33142.8,20802.4,105389,46.4081,98.1517,0.0125062,7
45112.9,22874,128247,37090.8,27698.7,98158.2,-1.11548,171.993,0.0177354,9
24135.9,12679.6,115155,30847.9,24905.2,89756.5,64.9639,45.1276,0.0194782,10
71812.4,38247.3,142034,64357.6,38972.1,115298,89.7597,288.697,0.0214689,11
60744.8,31574.6,136857,37253.6,24678.3,104883,56.9011,114.14,0.0353116,13
41403.2,23128.7,125286,40872.8,28331.3,101213,36.2715,309.006,0.0357477,14
51041.6,28114.1,126630,47703.1,33253.8,104235,24.5946,235.691,0.0423389,16
54322.6,31710.8,119535,28769,22256.4,89721.1,45.6375,270.915,0.0425616,17
40078.5,19149,141678,68041.9,36708.4,120295,138.98,228.863,0.0463534,18
43125.8,23832.2,129125,45374.3,36696.8,98242.4,53.9369,235.906,0.0473582,19
52201.3,27707.1,126732,37860.7,29054.2,98566.3,39.3539,197.451,0.0522834,20
53527.9,27799.9,138853,45068,29904.3,107255,40.3023,145.967,0.0605442,21
29954.8,15715.9,121307,36248.4,28968.7,96311.7,33.4855,55.0894,0.0611818,22
54010.3,28543.4,135071,43570.5,31793.4,103835,10.0149,252.96,0.0639613,23
47076.1,25973.1,132235,43077.1,30841.5,103578,57.0197,222.888,0.0663422,24
48085.5,24564.6,131462,39929.9,26455.3,104460,41.4286,172.047,0.0694123,25
35707.2,17963.5,128777,44281.8,31168.8,103853,55.3004,172.156,0.0697988,26
34410.4,18264.8,123822,28842.3,20030.3,97142.1,2.84436,213.614,0.0812411,29
35763.8,17662.9,128393,45005.1,31456.9,105474,47.2973,102.567,0.0836687,30
39760.1,21331.6,134646,45439.3,27091.8,110165,-48.3003,97.1025,0.0901558,31
27508.8,14892.2,121042,34034.8,25873.6,96981.2,41.2508,131.45,0.0960321,33
36573.5,20874.7,120865,27998.3,21308.4,93720.5,29.8105,133.863,0.100395,34
42446.1,21881.1,137929,43670.9,28615.2,110293,185.005,222.188,0.103352,35
60908,30684.9,143900,60378.6,37926.4,114081,22.0459,157.168,0.105553,36
38438.9,18103.6,138677,70039.5,42424.6,119744,109.78,427.858,0.110432,38
70691,37035.8,137633,52397,38434,105205,69.3142,309.482,0.112174,39
77602.4,39059.7,140653,73089.1,53573.4,109852,94.5388,748.501,0.113523,40
46661.1,24487.5,128667,34640,25354.2,98042.6,47.3566,127.663,0.118781,42
33898.7,19913.5,127298,32455,23163.4,101383,41.8436,179.443,0.121701,44
51847.2,26822.5,131979,37484.2,25657.3,101464,40.0059,148.537,0.124749,45
32026.4,15786.4,134557,45578.2,32299.4,104980,60.3396,202.322,0.126596,46
45281.3,27049.4,118118,33797.7,24916.5,93202.2,49.135,509.97,0.129403,47
28298.4,15270.1,118039,30498.8,23995,94466,12.0298,111.827,0.129599,48
46456.8,23148,143888,52087.2,32825.1,113835,54.3519,194.906,0.129902,49
54217.4,29351.8,141214,65800.4,49782,111151,90.1678,175.039,0.131489,50
74887.5,36134.6,148213,70122,47856,114637,17.4823,213.776,0.136144,51
50995.2,28299,128580,40707.5,32404.1,96694.5,1.77771,120.026,0.136196,52
35355,17666.4,135367,54618.2,36447,110001,107.805,347.214,0.137309,54
51740.5,24916.4,136379,54245.9,36426.8,111256,104.143,194.527,0.137551,55
31037.9,16940.4,127258,38810.4,28208.3,103423,49.965,144.927,0.137911,56
63140.1,34681.5,126702,42679.4,31610.8,100700,52.1584,358.485,0.139679,57
27541.4,15540.1,133550,48110.5,29902.6,119815,119.473,231.338,0.147361,60
32649,16736.1,128711,44619.9,30278.2,105613,44.4519,846.829,0.14854,61
30208.3,16448.2,126225,31577.3,22144.2,99563.3,43.207,115.296,0.148978,62
29854.6,15078.9,124542,33767.3,24111.5,97219.8,47.3566,163.605,0.149368,64
45416.5,23998.8,123703,33282.9,23928.7,98160,62.0589,83.554,0.153185,65
46310.8,22405.1,138772,66804.8,44574.9,114186,50.8542,255.958,0.155044,66
53014.7,29130.1,131582,44955.1,32732.3,103703,-13.33,199.075,0.160349,67
56662.4,28190,142596,63862.9,44476.6,114934,110.594,290.344,0.161769,68
61984.7,32614.1,127548,44518.9,30844.5,103385,24.9502,150.724,0.165133,69
34227.5,17341.9,125160,38493.3,24780,102376,52.9291,334.232,0.171708,70
58247.5,31609.5,131843,57621.3,42987.1,104553,75.865,302.44,0.173677,72
52076.3,25113.4,139192,63937.6,41026.9,112384,125.385,268.888,0.175917,73
50814.4,25320.1,135765,39856.1,27106.7,104411,21.7496,189.54,0.176836,74
53563.2,29155.8,143633,68434.4,43639.4,116516,78.4949,198.642,0.180793,76
35902.7,18351.7,134849,46973.4,29497.2,110097,53.2255,253.335,0.201608,78
50523,27147.3,139728,50031.8,32077.1,110927,60.3396,265.151,0.205933,79
54174.6,28718,129420,41529,31363.2,100117,44.0962,200.807,0.206878,80
43353.2,22892,127193,34849.5,25564.9,97574.6,136.958,196.098,0.208838,81
25141,14049,134070,40429.5,25320.4,110305,106.526,181.182,0.209199,82
33701.6,18013.8,132195,30784.1,21845.3,100913,36.0936,80.6184,0.211384,84
63231.7,33399.7,129308,39329.3,30564.3,98273.7,29.4549,247.925,0.21347,85
36166.4,19852.7,121197,37338.9,24351.8,100775,57.7311,329.282,0.214314,86
47977.4,27299.2,121115,29367.8,23128.4,92331.5,48.3051,65.8046,0.216598,89
58962.1,30299.3,141109,70134.1,40648.4,119869,54.7669,288.75,0.226078,90
34057.9,18935.5,127420,51081.1,38194.2,103941,0.948109,247.282,0.22735,91
68971.3,36187.7,135168,50336.7,37686,104770,48.7793,232.843,0.247241,92
59587.3,31093.1,133720,40740.6,30735.8,100634,26.9061,204.485,0.24876,93
30712.4,16863.8,129413,40208.3,22678.9,107842,46.8823,160.442,0.250622,94
59840.6,31865.7,131110,39825.2,29331.6,99869.9,52.0398,124.862,0.251334,95
33453.8,17987.2,123633,41427.1,32113.1,97861.3,50.3207,197.397,0.258439,98
52096.8,28790.6,135882,53736.4,37915.1,108668,165.896,254.031,0.259055,99
30297.4,14504.3,136481,58785.7,40649.8,115292,113.613,268.408,0.260919,101
36772,18814.3,140569,58698.2,30693.4,121826,138.056,230.154,0.263562,102
47728.4,25731.4,129471,38848.1,27505.8,100971,55.004,173.027,0.271275,103
37492.6,20583.5,120633,32383.3,24743.5,93311.2,21.0384,88.0925,0.275113,105
40814.7,23298.3,127864,28050.4,21974.5,93318.4,66.4457,168.944,0.275627,106
56268.8,31803,121974,28375.7,22117.3,89795.4,28.8621,243.368,0.286337,107
45169,21331.6,144424,56386.9,31391.8,118005,79.8969,261.625,0.287828,108
56119.6,30161.2,127430,34841.1,27069.8,93729.8,39.0575,130.352,0.297685,110
37514.1,18497.4,146320,47501.3,34428.9,113324,41.3101,198.913,0.302242,111
34050.3,18956.6,117337,38065.7,29516.9,96093.6,106.643,219.87,0.304829,112
45675.3,24053.8,129557,32754.7,25304.8,97234.9,42.8513,150.396,0.304956,113
46947.5,27303.1,120577,28387.9,22655.1,91166.7,30.4032,112.433,0.305584,114
56372.4,28939.4,135283,58388.6,42896.5,107867,41.6064,312.127,0.309994,116
52998.5,28937.3,130483,37842.9,28611.8,97815.3,20.8013,233.649,0.31256,117
60080.8,31098.1,138289,51400.4,36372.2,104814,40.9544,182.214,0.313006,118
37560.3,19016.3,128246,41601.1,28887.2,104044,24.8316,107.971,0.314236,119
46851,26071.3,130953,31164.4,24421,93551.6,55.4783,150.122,0.316643,120
28101.2,14752.6,122542,30505.5,21095.2,97930.8,18.4306,80.563,0.321169,121
54668.4,28996.2,136340,53862.8,37647.8,109671,30.5811,178.302,0.321639,122
45241.2,23784.7,131060,36864.7,25949.7,102842,14.3412,164.368,0.327857,123
34628.3,18124.4,128039,36123.5,27979,100108,43.5627,246.8,0.32815,124
44102.8,24899.8,139375,52923.6,32107.3,113434,163.538,379.12,0.329063,125
55625.5,30051.5,139468,51615.6,33006.4,111273,121.966,229.401,0.329537,126
28054.6,15290.7,132454,40363.2,26290,107849,68.085,126.18,0.332659,128
50618,29906.6,121877,39952.4,31252.9,95853.4,27.2025,168.236,0.335593,130
58069.6,29839.8,138405,49827.3,36518.6,105201,65.7346,261.305,0.340666,132
41988.8,22743.3,124311,29257.9,20650.6,96443,47.9494,119.586,0.344395,133
40425.9,21241.6,125033,30495.1,20536,97609.8,39.0575,118.541,0.34637,135
40317.8,19606.9,138638,54769,34993.5,110484,58.0275,167.583,0.346834,136
65562.3,37001.2,128238,42382.3,32017.2,99247,-0.167322,187.099,0.350496,137
32000.6,17464.8,127720,36680.3,27155.1,97980.1,45.1632,434.351,0.36118,140
58571,30261.8,129545,59406.6,43537.9,107811,72.6491,205.675,0.362431,141
38196.5,21833.6,131139,41305.3,30450.3,100700,41.3101,821.149,0.367059,142
54307.5,27558.6,139095,51675.8,38220.5,107658,56.7232,176.018,0.369213,143
57046.2,29445.3,138769,54275.8,40445,110006,38.2869,243.368,0.369387,144
39429.3,22800.5,120742,29300.1,24119.3,91122.1,21.1569,64.1931,0.375645,145
62596.4,31393.3,137353,51005.5,38311.3,104159,36.3307,272.675,0.385238,146
46701.5,25671.7,134506,53371,40319.5,105350,31.7665,234.724,0.390849,147
42717.3,22332.7,134777,40388.7,25202.6,107258,64.0153,174.931,0.392479,148
36736.5,19992.1,131753,39284.9,29162.8,102752,24.5946,149.138,0.39715,149
33589.1,16174.4,136762,54489.7,32723.1,115201,67.7923,524.373,0.401387,151
66443.7,34944.4,133864,57718.9,37770.2,111538,60.8139,251.354,0.403002,152
49584.5,26583.3,139459,35531.7,24575.6,104736,65.1418,168.563,0.410207,153
49149.6,25764.8,132834,43211.7,28757.7,104961,66.3286,282.475,0.423855,154
45038.4,25192.6,126763,40523.5,30913.1,100567,9.06669,149.904,0.429497,155
36076.1,21848.6,115641,30384.7,23588.8,90861.7,37.8127,230.101,0.438236,156
44746,24227.2,130893,39751.4,28187.5,104285,28.388,235.691,0.4396,157
48077,26021.7,125066,27335,20783.7,92733.3,27.3803,93.843,0.440325,158
56386.3,30968.9,135070,50352,37803.9,104359,47.0009,190.137,0.44322,159
46832,23539.8,135140,40370.3,29446.2,104539,48.7201,133.698,0.445263,160
38687.3,23574.6,131557,40486.3,29115.8,104412,48.8386,160.497,0.452522,161
33282.3,18449.7,122171,36008.6,26078.9,98731.7,21.5125,194.147,0.453226,162
50612.6,26688.7,136123,49374.3,37163,104717,3.25917,277.471,0.459394,164
45021.4,24806,132948,43040.7,30840,102281,34.2561,362.567,0.460242,165
43505.7,23406.4,133948,43544.2,29457.2,104354,43.7998,161.806,0.46938,167
61596,29912.8,141099,78772.3,55258.3,115688,55.2411,431.312,0.470855,168
35245.6,17551.2,142169,65506.3,39842.7,122047,107.631,151.543,0.476264,169
44051.2,23120.6,129472,44819.8,30942.3,103273,135.975,155.094,0.478951,170
42290.4,22214.5,127077,42462.5,29646.4,101480,53.3441,123.269,0.480949,171
38464.3,19926.4,132080,41388.3,29900.1,101215,58.3832,294.592,0.489056,172
24051.6,10936,135199,55538.4,31876.1,120041,80.3058,492.47,0.490514,173
28131.9,15248.8,121510,37663.1,26722.9,100971,55.0633,106.924,0.493194,174
38435.7,21185.7,121085,30322.4,23478.4,92546.9,19.7937,48.6733,0.49403,175
46893.5,25463.5,140218,54517.4,38392.8,110839,139.443,300.479,0.496627,176
20354.2,12976.8,121335,34513.2,22182.6,107726,66.7971,109.955,0.499998,177
40734.5,23040.9,128744,30462,21584.6,97941.1,99.3137,142.191,0.516386,179
52717.9,28367.3,125639,38620.7,29031.7,96851.3,54.7076,155.531,0.516407,180
33502.7,19595.7,119776,28394.3,22263.7,90620.2,30.6403,132.986,0.522805,182
50478.7,27483.3,124685,35742.6,25440.8,100045,15.645,130.901,0.528847,183
36361.1,18765.8,135402,51805.9,34714.5,109290,60.5767,188.455,0.529834,184
69111.4,34409,138770,56593.4,34041.9,114544,69.4898,111.332,0.532766,185
27732.5,13846.2,131949,48240.1,25589.2,115582,92.5577,814.689,0.537146,187
49857.6,27404.9,134273,45314.9,31547.8,103428,43.9776,174.224,0.538714,188
56935.2,32298.6,125327,33776.4,26621.2,93086.4,47.0602,135.014,0.539641,189
35354.7,18243.4,128177,48315.6,31194.7,107964,88.5934,381.517,0.541205,190
31611.1,16534,123874,27703,19420.6,95764.4,21.0976,122.665,0.547574,191
66622.3,35380.1,134070,43717.2,31603.2,101097,55.3004,159.897,0.567182,193
44557.4,23523.5,124064,35143.5,26624,95843.2,33.4855,155.694,0.56782,194
26893,14227.9,127389,47926.3,28132.3,115602,24.6538,197.56,0.57176,195
32938.2,18727.1,129859,38429.3,22542.4,106585,7.58515,275.02,0.575594,196
31542.7,17759.3,117847,32626.8,25770,91288.9,62.1182,228.971,0.577568,197
58735,31729.5,133378,54266,37000.5,106885,87.0769,73.5774,0.582126,198
24805.3,12754.3,120262,30300.2,22546.3,96528.2,5.27398,202.106,0.587907,199
48889.2,25734.1,135703,51999.7,36024.5,109818,28.8621,216.689,0.598262,200
68570.8,34824.8,136098,74464.4,49767.3,111858,89.9346,592.99,0.598464,201
58567.5,31155.4,129186,45535.9,33905.1,103176,20.5642,207.404,0.599836,202
48317.4,23858.6,141127,67826.6,41802,117236,100.303,165.077,0.602098,203
45725.7,23991.6,134808,48059.8,33029.3,105172,68.9045,604.318,0.612749,204
32454.7,20572.9,121493,44527.1,35952.7,99678.1,62.0589,319.102,0.619459,205
53038.3,25174.3,143212,57165.3,38807.8,112131,74.8712,104.057,0.628042,207
35018.2,19085.9,120193,30914.4,22443.6,93688.9,54.4112,219.655,0.629262,208
41377.3,20926.1,133863,38734.3,28511.1,103453,30.0476,129.474,0.633222,209
46826.1,24355.3,129247,49082.6,37136.7,100624,26.8469,114.085,0.642012,210
49079.9,27242.7,121407,28609.3,23597.4,87360.1,56.7232,150.669,0.644952,211
50128.5,28600.1,127993,40548.5,33599.4,96044.8,0,253.87,0.648472,213
69317.3,40446.3,132111,58112,40808.6,111683,47.0602,285.082,0.649797,214
36109.1,20344.6,121820,33675,26376,94239.1,2.60732,201.24,0.650306,215
53021.4,30083.5,122475,30209.8,23582.4,93675.1,53.9369,43.2141,0.658025,217
58154.6,28849.6,141386,52872.9,34474.6,111096,73.3509,391.146,0.661644,218
47558,26345.9,129158,43835.2,32645.7,100009,26.7876,196.964,0.668677,219
49396.8,26522.8,128988,32284.5,23042,97012.3,5.3925,160.442,0.67049,220
45170.3,23780.7,127225,38581.6,25975.1,102861,59.0353,120.521,0.671756,222
50204.6,25757.2,136186,46636.1,31500.9,107058,37.8127,233.058,0.675688,223
47235.4,26239.7,125028,28990.2,22458,93575.5,58.9168,142.191,0.678792,224
38026.5,21932.6,121549,34478.6,25928.4,96299.4,72.766,266.059,0.688498,226
45923.3,24496.6,130777,38844.7,24955.5,108546,38.7018,222.888,0.689112,227
32269,18658.1,128187,39660.3,28076.2,102746,44.1555,178.519,0.689291,228
23561.1,13884.9,122113,30283.3,21506.3,96941.6,6.28141,194.852,0.696918,231
24022.3,12530,122307,30386.2,23139.9,95644.9,16.1191,92.1849,0.69813,232
46052.8,24759.7,129768,34451.1,24194.6,97932.3,7.28884,414.791,0.69926,233
40786.6,23660.5,121190,32192.6,25382.9,93024.5,34.2561,561.297,0.701608,234
32787.6,18308.1,120540,34727,23599.5,99732,81.8242,102.126,0.707156,235
31888.3,16620,127912,40533.3,31419.4,100587,18.2528,117.716,0.709251,237
44883.7,23254.9,125505,46324.6,35405.2,98710.5,52.1584,164.586,0.714331,238
60460.9,32021.3,141418,54224,32214.5,113761,79.7801,166.548,0.718699,239
64193.6,32797.8,138169,58410.2,38926.9,110152,44.0369,203.999,0.725676,240
59371.7,33597.2,127275,34538.4,26049.9,97253.8,81.7658,742.836,0.727098,241
28105.7,13872.6,124316,33134.7,24728.7,98432.9,25.3651,185.905,0.727192,242
32854.7,17684.6,123416,32788.6,25848.8,95273.4,15.5857,89.9179,0.73912,245
56976.1,30260.6,146636,61561.5,42918.6,117928,120.343,341.069,0.74021,247
48593,26888.2,124706,35746,29115,92742.2,28.625,272.675,0.742953,248
57921.9,32060,127164,38955.3,27543,101447,57.9089,136.823,0.754867,249
41292.7,22106.8,134274,60095.7,42891.2,113336,74.6958,168.291,0.755404,250
52466.5,28802.8,122045,31838.5,24744.4,93102.2,98.0912,169.707,0.756985,251
46826.5,26478,129137,39818.2,28044.8,101179,47.238,140.165,0.758489,253
49524.5,24994.4,144500,62726.1,39229.3,115123,50.1428,196.368,0.758547,254
47412,25104.4,131130,42793.9,30638.6,100706,60.7546,220.248,0.759654,256
52487.4,26239.3,135680,55728.3,37343.9,109774,40.658,231.338,0.761472,257
50359.7,27644.2,134033,41118.6,30257.2,103077,83.9259,202.647,0.761651,258
40754.7,22109.4,132030,46894.7,34773.7,106765,59.5689,201.835,0.762233,259
38007.9,19748.6,124524,53158.3,41895,100063,96.4609,362.671,0.776156,261
55472.6,30182.4,131028,39524.4,29815.1,98160.3,43.9776,226.173,0.778414,262
54738.9,29523.2,127236,41147.9,29798.7,99772.9,29.1585,163.223,0.785656,263
43208.2,21271,134785,67736.8,52128.9,110660,49.965,235.154,0.785709,264
31766.4,17536.9,123633,47070.4,31632.3,103419,44.9854,248.729,0.785934,265
40725.1,21114,134545,49473.9,32146.1,107744,83.5757,148.92,0.79316,266
35469.9,17312,133676,47547.4,32179.4,106446,47.8901,198.751,0.800205,267
35268.3,18323.2,127517,32722.8,22288.1,99824.4,32.7742,103.064,0.802488,268
59140.2,33231.8,128886,38865,29723.8,100065,34.9081,150.013,0.80584,269
49625.3,27132.5,134073,41893.1,29531.6,102962,37.9312,128.377,0.8072,270
53844.9,26766.5,138327,49128.7,31126.2,110674,66.7385,107.806,0.812956,271
51572.1,29618.7,122215,30104.8,24337.7,90577.5,38.4647,146.021,0.815175,272
33507.8,19222.7,120765,30762.9,23485.6,96850.1,47.1195,152.745,0.816536,275
58430,33848.8,127562,36235.1,28909.3,96710.7,26.7876,153.128,0.824026,277
44387.9,23577.2,129408,35363.1,25405.2,101055,17.8971,135.343,0.830008,279
51114.3,25459.3,134951,55369.4,37597.4,107470,73.9942,147.99,0.832888,280
38597.5,19871,140629,55151.6,32960.2,115030,36.6271,205.458,0.833484,281
41583.1,22154.8,139239,53502.4,33479,111289,57.7311,156.35,0.835657,282
41922.5,20913.3,132250,50630.9,36712.3,107287,116.863,248.622,0.836648,283
44758.2,24878.2,126814,44572.5,33859.8,99955.7,61.3475,129.749,0.837153,284
69298.1,34434.3,155000,95085.2,57569.2,127010,77.7937,531.985,0.841315,285
50093.1,25688.9,130339,44817.6,34101.5,101557,52.0991,238.001,0.841967,286
37385.7,21044.2,127570,38201.1,28769,100371,65.7346,94.2299,0.842079,287
45093.6,23610.5,131823,42817.9,32555.1,102995,83.5173,217.66,0.848256,289
54918.1,30416.6,129186,38839.4,28560.9,100067,2.66658,189.811,0.854727,290
51739.7,26918.7,144423,62166.7,36125.5,117596,47.0009,159.024,0.855693,291
47073.2,26288.3,120576,29207.4,23456.3,94305.1,49.1943,115.13,0.864051,294
50015.5,27079.4,130749,47384,34280,103667,48.8979,199.454,0.868134,295
34314.5,17610.7,127175,30912.8,22541.7,97402.1,54.2333,221.11,0.884107,297
64737.2,33900.9,142146,68188.5,50383.1,111798,126.833,361.939,0.886197,298
25030.7,13960.7,142042,56512.9,27558.2,123721,44.3926,278.164,0.888749,301
25781.9,13572.1,121469,29913.6,22272.4,97763.5,22.8757,-14.7731,0.888765,302
50498.6,27207.2,134336,55155.8,37635,108558,105.654,202.214,0.889058,304
44090.2,23193.9,128941,70048,43965.2,165873,73.2924,277.045,0.889104,305
47271.8,24024.3,139429,58343.3,38167.5,113656,101.234,244.334,0.904872,306
40150.8,20752.9,144065,69109.1,43814,118041,78.787,119.971,0.91753,307
28623.2,15340.6,121881,35316.1,26250.8,96175.1,-9.81622,171.068,0.920542,308
34284.3,17668.8,124126,44338.4,34323.2,100541,63.126,256.814,0.926302,309
26758.4,13911.8,125105,37062.6,25160.1,101581,51.862,337.967,0.957257,312
53301.6,27722.9,130362,42631.7,30123.6,103133,59.806,167.746,0.96154,313
37567,21132.6,121125,35018.2,27173.4,94043.9,12.8003,112.543,0.968027,314
42170.5,22254.2,129251,39582.2,29896.3,100201,86.6686,561.047,0.969712,315
25230.6,12809.8,123878,45213.6,25612,112056,46.7638,172.047,0.972429,316
60028.2,33435.2,127273,33411,27446.4,92599.7,52.0398,99.9184,0.985049,317
37750.5,20414.8,121901,30884.5,24648.3,92821.7,62.4146,145.365,0.998584,318
35279.6,18774.3,124438,40111.5,29538.1,100705,81.0651,156.841,1.00063,319
57395.5,31157.6,135067,69271.1,45280.9,116589,139.038,2236.4,1.00206,320
37423.6,20535.4,123741,34909.7,25751.7,95220.4,41.1322,178.356,1.01865,321
52484.4,29303.5,124510,30253.9,24367.5,93056.4,35.9751,187.045,1.02621,322
49233.4,27130.5,135349,50028.8,34341.5,109894,57.0789,206.81,1.0306,323
56266.3,30880.9,133634,60510.3,43987.8,105232,81.4738,366.907,1.03137,324
47739.8,23993.7,137546,51712.2,32273.9,112104,98.2659,216.689,1.04799,325
32452.2,17510.9,127244,39937.2,29910.4,98081.8,99.9539,186.556,1.04852,326
25381.3,12414.6,123591,36440.5,24717.3,103226,41.3101,177.541,1.05391,327
47339.8,25374.6,126074,30728.8,25230.6,93087.4,-1.45012,107.089,1.05413,328
53683.5,28901.6,123536,32514.8,22865.1,96680.4,23.7648,183.463,1.05857,329
32672.5,18181.5,120572,27553,20890.8,93807.9,76.0404,180.475,1.06451,330
29572.5,17526.4,152995,49433.6,25796.3,127148,62.4146,533.647,1.07113,331
41475,24955.8,128652,49370.8,40393.4,101536,71.0696,352.879,1.0727,332
52362.8,26923.5,139566,51718.4,30269.3,112139,60.3396,310.011,1.07297,334
42923.9,23827.7,121514,34819.5,23928.2,97815,43.8591,258.899,1.07805,335
42424,24054.2,117210,30435.3,23651.6,92761.2,5.62954,240.417,1.07866,337
35570.6,20806.1,123819,27209.5,20591.6,92703.2,28.6843,89.5861,1.08009,338
68681.4,34473.7,138271,51907.7,34088.8,111443,102.63,263.656,1.08785,339
47374.7,24340.5,134619,53200.7,38732.4,104899,75.0466,165.458,1.09143,341
37026.3,20373.1,131495,38834.1,27185,103342,57.1975,293.902,1.09407,342
38151.4,21127,121059,33507.4,26830.5,94296.4,38.1091,135.179,1.09835,344
56399.2,29832.1,129081,44849.2,31908.8,103052,40.8358,198.751,1.10053,345
43610.1,23376.5,127627,32508.4,24581.8,97714.2,32.5371,159.406,1.10298,346
59793.7,31898.3,131606,37949.1,28614.7,99821.5,48.7201,161.206,1.10381,347
45426.1,23819.9,127136,31731,25781.5,94281.2,74.5204,136.987,1.1105,348
58855.8,32019.4,131711,47359.9,34291.4,102941,84.6846,260.289,1.11118,349
55487.8,29126.6,132218,39427,28961.2,101215,15.8821,143.067,1.11131,350
38589.9,20638.6,131440,37070,25415,104202,83.0503,190.95,1.11193,351
64390.9,32925,137811,51144.2,33179.8,110768,95.1795,175.039,1.12534,352
45956.9,25812.6,127846,33208.6,25895.1,94555,28.5658,124.862,1.15624,356
36993.8,21279,117481,31991.1,26459.4,89763,49.965,352.145,1.15682,357
36557.6,17651,135790,50964.8,28356.2,114717,59.3318,94.6719,1.15894,359
28304.3,14431,129021,45088,31909.2,107492,75.7481,218.253,1.16037,360
45102.7,25235.6,125305,31613.9,24630.8,93760.4,57.8496,145.967,1.16082,361
32387,17842.2,130744,39163.3,25457.2,105254,54.7669,86.3219,1.1772,363
34517.7,18836.6,124383,31683.1,25607.7,93146.9,68.963,86.7093,1.18708,364
49077.3,25792.8,128304,37058.4,28134.2,98563.8,55.7747,187.533,1.18989,365
56347.9,29837.8,137888,52418.6,33990.4,108301,98.4405,330.441,1.19652,366
25940.1,12914,121407,32765.7,21349.9,101278,0.53331,96.7159,1.20356,367
58278.8,31005.5,145502,34586.6,21558.6,110005,97.7419,289.919,1.21042,368
54448.9,27496.5,135054,50177.3,41346.7,102688,72.5906,322.955,1.21142,369
31392,16691.5,123607,30711.6,23559.7,94299.3,75.6897,216.312,1.21147,370
27216.4,14709.1,116832,47855.9,38306.4,96940.6,83.167,307.366,1.21285,371
28544.3,15396.3,121997,29699,22934.8,93749.2,27.0247,209.349,1.21434,373
46001.8,24999.7,135067,52270.3,40873.1,104361,35.738,219.817,1.21797,375
60373.9,32735.7,128610,34513.1,25544.3,97376.5,50.8542,188.618,1.22095,376
28023.3,16975.1,129132,41586.5,29737.5,110509,80.189,200.591,1.22335,377
33705.6,16735.6,127814,35088.3,23875.3,103090,16.2969,134.959,1.22771,378
34635.7,19604.9,127118,45346.4,34865.2,100390,34.7896,241.222,1.23164,380
38856,21370.3,137583,44919.6,30289.2,107001,70.2505,543.955,1.23462,381
35365,19831.1,117189,35456.3,27409.5,94043,41.6657,228.648,1.23542,382
52869.2,27130.8,144403,60278.9,39493,116825,80.1306,143.067,1.23845,383
48945.8,26596.4,122771,30736.3,24106.8,92677.1,29.5734,136.713,1.24003,384
35149.3,18224.4,136266,54541.1,35703.2,110643,34.7896,318.785,1.2465,385
45036.3,25371.5,124994,49581,37108.7,102726,24.1204,165.785,1.24678,386
46413.8,25520.2,121763,36460.3,27893.8,96078.5,14.1041,136.823,1.25201,387
33018.7,18243.9,115527,28334.1,22613.2,86996.7,69.4898,167.092,1.2565,388
53399,28183,132607,49148.1,35666.6,104220,28.4472,291.831,1.25782,389
41183.8,21782.3,134077,43709.9,27836.7,110341,46.7638,166.384,1.27172,392
41608.9,23009.3,127716,43232.8,33876,98189.2,1.54068,137.207,1.2791,394
51882.4,26561.5,142736,58781.4,42837.5,111361,65.0232,212.319,1.28176,395
38113.5,24641.7,113736,30090,26790.7,83373.8,10.3705,162.078,1.28357,396
33141.2,17777.6,127510,27672.2,21168.7,94486.5,40.0059,78.7898,1.29299,400
31048,16992.8,129286,37998.3,25744,104184,127.991,157.769,1.29506,401
40645.7,24335.7,139641,57040.9,35137.8,117058,81.7658,181.779,1.29544,403
29005.7,15122.7,127049,52476.7,38104.2,105405,78.1443,241.329,1.31529,406
44654.2,23658.7,138206,44884.3,28216.4,112259,88.5934,179.117,1.33137,407
56276.9,29478.5,128669,35643.1,23609.9,101066,66.6214,125.851,1.33444,408
32103,16634.5,120655,31654.8,25509.4,90957.5,31.1145,154.002,1.33453,409
30870.2,15727.1,126282,45648.2,35299,100642,126.312,408.166,1.33521,411
58647.1,29280.7,134997,50534,31496,110038,47.0602,458.131,1.34001,412
40289.8,23374.6,119858,38825.9,31400.1,94385.5,69.6068,184.331,1.34454,414
30606.6,18403.3,127676,54318.1,35857.7,109780,84.6846,315.404,1.34789,415
46927.8,24213.7,136390,55550.4,37100.1,108300,73.8187,165.403,1.34797,416
57569.5,28499.5,140097,70482,49488.4,113758,19.0232,206.593,1.34901,417
42417.2,21445.5,137696,52664.3,38132,107986,60.5767,168.89,1.35062,418
38132.8,18482,135990,39698.9,24016.4,109851,83.8675,223.911,1.35455,420
45202.5,23743.5,127008,30878.7,24715.7,94481.2,73.8772,96.7711,1.35757,421
34144,20642.7,135064,50613.5,34258.5,109930,47.4159,194.473,1.35895,422
