"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "BB515-A", "APC-A", "Time", "Event #"
21563.3,8807.96,164408,55535.6,29411.8,143521,140.945,15.6968,0.0198139,0
24138.9,13004.5,117640,36855.4,27236.2,97759.6,155.134,5.0632,0.0230707,1
50184.5,27757.1,120885,49120.2,37808.1,100535,168.31,21.4924,0.166646,8
49086.2,27812.6,121826,54119,39398.8,103616,184.661,-10.4312,0.166668,9
63977.9,35858.8,126475,48092.1,34684.3,105093,151.446,-15.5143,0.219767,11
64438.7,36264.2,126889,54819.2,39209.3,106296,193.59,0.168769,0.233771,13
58881.2,32383.2,128262,53451.9,37406.3,107367,115.935,14.6278,0.244348,15
60799.1,31936.6,135196,86236.1,54223.4,118420,165.666,-10.3782,0.318837,17
61226.2,33864.9,127878,64399.1,46934.7,108021,57.6718,-11.1724,0.40982,18
58329.1,31784.2,127894,55516.5,38354.7,108524,162.905,25.7689,0.415384,19
52591.6,28580.3,124691,52766.3,38614.2,105683,180.764,-15.4084,0.423698,20
62337.6,31267.8,134819,67254.5,42412,117575,167.39,-17.6324,0.498849,24
36691.2,19924,124206,69905.2,46793.2,111691,149.14,-44.425,0.536264,25
54410.6,27757.9,134827,84216.8,56569,118215,168.712,27.7384,0.573366,27
34087.3,15682.8,135120,37047.6,21149.8,114098,49.4314,20.4795,0.600829,28
63661.2,39424.1,119660,49506.4,35901,104103,85.5016,4.38809,0.612295,31
70064.8,40471.4,131967,76417.9,54195.3,112494,95.529,-2.38275,0.623604,32
61718.9,31250.4,141673,87251.7,49109.3,127258,237.328,0.0562562,0.635727,33
45625.5,21301.4,137655,82396.7,53505.6,121242,167.448,-7.88955,0.663307,35
73144.4,40677.7,131177,63189.4,41456.6,109197,168.769,3.03789,0.717384,37
63813.2,34979,127595,47430.4,35661.5,100836,83.0503,15.6968,0.721457,38
70179.9,36852.9,131413,75765.7,49387.6,116928,147.352,-25.9985,0.754338,41
