"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "BB515-A", "APC-A", "Time", "Event #"
33799.5,19122.4,120464,58074.3,42948.2,105378,99.4301,251.89,0.025746,1
44628.1,25096.6,122546,44285,32822.7,100225,92.3246,277.631,0.048042,2
53531,28494.9,126618,49567.2,34352.1,104299,67.5582,231.768,0.0541232,3
49687.8,30272.3,116904,33131.1,26478.9,91033.2,14.2819,348.263,0.0560873,4
53087.2,27672.2,127921,85253.7,61701.1,109579,132.91,476.992,0.060987,5
54429.6,31847.4,127441,53963.8,40029.5,103161,188.04,442.172,0.0632941,6
21653.5,12568.9,109720,56835.9,40746.3,107306,107.689,529.063,0.070919,7
21680.1,13177.7,115026,67669.9,49773.1,108667,167.39,751.943,0.0886454,9
51159.4,29000.8,120644,36976.9,27693.5,96419.2,130.712,373.435,0.0903322,10
48876.6,26323.4,124865,60946.4,42080.5,106817,124.632,342.225,0.0909887,11
42237.6,24861.7,117382,48220.9,36911.6,99704.7,97.4508,468.006,0.0926782,12
68490.5,34440.6,132427,87765.8,59469.7,113829,162.273,601.989,0.0929384,13
58045.1,29839,134503,107736,66347.4,121138,226.598,631.27,0.105517,14
52824.6,27654.9,130450,68163,45559.1,110848,131.464,487.028,0.108189,15
67089.5,35671.7,131268,65035.7,48053.6,108135,276.873,755.967,0.112252,16
56014.9,31620.6,127189,62673.3,47134.7,104865,94.7135,676.595,0.118551,17
50601.5,26390.6,137694,75971.6,47809.1,120096,193.991,357.49,0.125748,18
50109.6,27499,128316,60929.6,42449.6,110058,113.091,634.288,0.13384,21
55557.5,29379.4,134505,88608.5,56251.9,117043,218.124,404.073,0.137106,22
38364.2,22371.8,117640,34962.1,26438.8,96015.5,61.6439,268.408,0.137154,23
64810.2,39219.3,121220,49637.8,39173.8,101201,60.221,229.079,0.141098,24
39349.8,19404.1,140952,78903.7,46220.3,128243,300.118,450.851,0.145852,25
68665.3,39391.7,127351,65636.6,45858.7,107204,143.658,420.167,0.160478,26
36314,21869.5,117941,45080.5,34810.9,98700.9,47.238,137.864,0.175111,29
45950.3,25995.5,122460,47796.6,36755.2,102402,157.323,519.577,0.1779,30
45669.9,25572.8,122634,45839,34172.7,101008,124.284,327.068,0.190411,31
47645.7,23043.4,137568,86277.2,51388,124264,274.228,709.689,0.193369,32
51016.7,26704,128276,67905.8,50112.3,110164,244.808,1085.32,0.212952,33
45654.9,24028.7,134847,97143.9,61303.2,120981,272.426,569.892,0.234339,34
55469.3,29509.6,124145,65034.9,50685.2,103346,149.601,503.789,0.244686,36
30101.6,17470.1,115584,37359.2,29320.1,93532.5,90.4593,328.28,0.24567,37
59542.8,33360.9,128791,79424.6,56499.9,110144,151.216,264.991,0.250781,38
41550.3,20509.3,128352,68196.3,52456.8,108280,134.761,405.472,0.25486,39
67969.7,37317.1,131361,71904.5,53690.3,108439,91.2755,320.897,0.255755,40
32053.4,16587.2,129052,69155.4,40489.8,118264,156.344,460.947,0.25635,41
51575.8,31672.5,123971,55887.8,38967.7,104999,139.385,312.814,0.265496,42
63420.8,35496.2,124965,48443,36327.2,101337,120.633,921.224,0.271982,43
31967.3,16731.4,130435,62280.8,33201,118195,174.914,346.321,0.277173,44
68699.6,36142.4,136662,78007.9,54058,111947,218.921,626.187,0.288473,46
46918.7,28784.5,114358,38723.4,32347.4,90933.9,108.154,965.543,0.291883,47
71772,39918.2,133976,65807.3,47507.9,109722,162.215,928.214,0.312547,49
36038.5,21333.4,114866,39940.8,32013.7,95819.1,32.5964,164.586,0.323807,50
26232.5,15473.3,111835,43282.5,33136.5,96939.5,106.003,411.014,0.337755,51
54935.6,30461.3,126839,59201.3,44803.1,107289,148.217,360.107,0.350666,52
34028.2,19612.7,117862,59318.8,45673.1,103090,130.075,483.261,0.350885,53
49271.3,28309.1,131556,76445.6,52950.8,110539,114.02,358.537,0.372515,54
52146.4,32096,120846,54420.4,43081.6,99856.7,133.951,360.892,0.385248,56
64629.6,36537.2,126609,59135.5,43422.9,103769,130.538,560.347,0.388418,57
56314.6,34077.2,123299,54160.5,42770.3,101305,117.501,349.155,0.39026,58
46098.4,28475.5,117744,45554.2,36151.2,96404.1,115.122,530.171,0.391008,59
35014.3,21218.4,112379,44645.2,35956.5,94151.4,99.5465,364.136,0.393924,60
63867.8,35785.5,129043,77279.9,56137.2,109766,179.388,598.282,0.39457,61
58227.4,31590.3,130778,68836.6,47790.2,111575,194.963,367.795,0.41042,63
51555.3,27903.9,124135,45857.7,35615.5,99445.3,105.422,340.596,0.420033,64
35894.6,20421.4,120010,66900.4,48479.6,107219,154.961,740.241,0.436059,65
71284.5,38662.7,130769,61485.1,44559.3,105128,168.539,533.949,0.454853,67
60901.7,32474.3,134521,71427.6,50988.6,112184,172.847,1391.16,0.468904,69
