y_px,x_peak_px,prominence,used,x_fit_px,tangent_deg,y_nm,x_fit_nm
0.0000,9.0822,2671.5000,1.0000,9.1322,22.6825,0.0000,1461.1467
1.0000,9.6821,2060.0000,0.0000,9.5386,21.5461,160.0000,1526.1699
2.0000,9.7544,1893.5000,0.0000,9.9218,20.3917,320.0000,1587.4956
3.0000,10.2393,2909.5000,1.0000,10.2820,19.2197,480.0000,1645.1238
4.0000,10.6969,2891.0000,1.0000,10.6191,18.0307,640.0000,1699.0546
5.0000,10.9576,3165.0000,1.0000,10.9330,16.8255,800.0000,1749.2878
6.0000,11.5282,2021.5000,0.0000,11.2239,15.6047,960.0000,1795.8236
7.0000,11.6432,2883.5000,1.0000,11.4916,14.3693,1120.0000,1838.6619
8.0000,11.3837,2189.5000,0.0000,11.7363,13.1200,1280.0000,1877.8028
9.0000,11.9017,2724.5000,1.0000,11.9578,11.8579,1440.0000,1913.2462
10.0000,11.4722,2136.5000,0.0000,12.1562,10.5841,1600.0000,1944.9920
11.0000,12.1435,1564.0000,1.0000,12.3315,9.2995,1760.0000,1973.0405
12.0000,12.4261,1732.0000,1.0000,12.4837,8.0055,1920.0000,1997.3914
13.0000,12.3965,2072.5000,0.0000,12.6128,6.7032,2080.0000,2018.0449
14.0000,12.2838,1651.5000,0.0000,12.7188,5.3939,2240.0000,2035.0008
15.0000,13.2194,1963.0000,0.0000,12.8016,4.0789,2400.0000,2048.2593
16.0000,12.9330,2333.5000,0.0000,12.8614,2.7596,2560.0000,2057.8204
17.0000,12.7204,2384.0000,1.0000,12.8980,1.4374,2720.0000,2063.6839
18.0000,13.0571,2248.5000,1.0000,12.9116,0.1136,2880.0000,2065.8500
19.0000,12.7697,1758.5000,0.0000,12.9020,-1.2102,3040.0000,2064.3186
20.0000,12.6347,1607.0000,1.0000,12.8693,-2.5328,3200.0000,2059.0898
21.0000,12.9881,2291.5000,1.0000,12.8135,-3.8527,3360.0000,2050.1634
22.0000,12.6948,2041.5000,0.0000,12.7346,-5.1685,3520.0000,2037.5396
23.0000,12.6833,2145.5000,1.0000,12.6326,-6.4789,3680.0000,2021.2183
24.0000,12.6780,2108.5000,1.0000,12.5075,-7.7825,3840.0000,2001.1995
25.0000,12.5650,1868.5000,0.0000,12.3593,-9.0781,4000.0000,1977.4833
26.0000,12.0866,1968.5000,1.0000,12.1879,-10.3643,4160.0000,1950.0695
27.0000,11.7094,1362.0000,0.0000,11.9935,-11.6401,4320.0000,1918.9583
28.0000,11.6973,1661.5000,1.0000,11.7759,-12.9043,4480.0000,1884.1497
29.0000,11.7666,1098.0000,0.0000,11.5353,-14.1558,4640.0000,1845.6435
