cell,a_per_px,apex_y_px,apex_radius_nm,rmse_nm,max_tilt_at_offset_deg
AVG_Cell1-1,0.014217,13.745,5627.2,18.0,5.078
AVG_Cell1-1,0.014217,13.745,5627.2,18.0,5.078
AVG_Cell2-1,-0.011555,18.086,6923.6,20.5,4.131
AVG_Cell2-1,-0.011555,18.086,6923.6,20.5,4.131
AVG_Cell3-1,-0.013863,13.114,5770.6,79.8,4.952
AVG_Cell3-1,-0.013863,13.114,5770.6,79.8,4.952
AVG_Cell4-1,-0.015565,15.088,5139.6,30.3,5.556
AVG_Cell4-1,-0.015565,15.088,5139.6,30.3,5.556
AVG_Cell5-1,0.017144,18.227,4666.5,38.7,6.116
AVG_Cell5-1,0.017144,18.227,4666.5,38.7,6.116
AVG_Cell6-1,-0.005947,9.492,13452.0,25.3,2.129
AVG_Cell6-1,-0.005947,9.492,13452.0,25.3,2.129
AVG_Cell7-1,0.019784,16.456,4043.7,34.3,7.049
AVG_Cell7-1,0.019784,16.456,4043.7,34.3,7.049
AVG_Cell8-1,0.014062,13.022,5689.0,32.4,5.023
AVG_Cell8-1,0.014062,13.022,5689.0,32.4,5.023
