sar,type,mean,sigma
2.236526242815215,peripheral,23,4
2.5313047105605846,peripheral,22,5
3.040678876034728,peripheral,25,5
3.113161140625919,peripheral,23,2
3.1524319776642815,peripheral,23,6
3.190638023113842,peripheral,24,5
3.2108582676425557,peripheral,22,3
3.2164742368308024,peripheral,24,3
3.3558847183074816,bimodal,24,3
3.4315904973288114,peripheral,24,2
3.46740759610687,bimodal,24,4
3.4760282237032514,peripheral,21,3
3.499383422683576,peripheral,20,6
3.5868804512180033,peripheral,25,3
3.6751014502614163,peripheral,26,5
3.816246406814985,peripheral,19,4
3.8176409098682,bimodal,23,4
3.8422233825364573,bimodal,25,6
3.8424525982017146,bimodal,24,6
3.886956445281713,bimodal,25,4
3.9077352366539233,peripheral,19,2
3.9257359309716384,peripheral,26,3
3.936018262630922,bimodal,23,5
3.948657362280659,bimodal,25,3
3.9836550334715897,peripheral,25,2
3.9892625379466966,peripheral,23,1
4.013655351161546,peripheral,24,1
4.045571173733368,peripheral,20,2
4.076490137510886,peripheral,23,3
4.129226908262387,peripheral,25,4
4.135315589849349,peripheral,24,7
4.226679350938911,uniform,32,1
4.249391330126671,bimodal,21,4
4.250176793366532,peripheral,24,4
4.281317607852047,peripheral,20,1
4.298616663374286,peripheral,22,9
4.306469347265807,peripheral,22,6
4.307571762915707,bimodal,24,7
4.324258204486408,peripheral,26,4
4.340700113057979,bimodal,25,7
4.367217493461245,bimodal,24,1
4.373414838518945,bimodal,24,2
4.375994140408266,peripheral,18,3
4.436349878437319,uniform,27,7
4.445608430765583,peripheral,19,3
4.4592609613621566,uniform,32,3
4.461494932270645,peripheral,21,6
4.490401704293702,peripheral,26,2
4.494609898548832,peripheral,28,2
4.497001810071956,peripheral,20,3
4.526927165364615,uniform,32,5
4.545944762790456,bimodal,22,3
4.560949689427533,uniform,33,5
4.569057371106907,peripheral,24,6
4.5766499056622445,bimodal,22,4
4.589320632096498,uniform,29,1
4.599861163366959,peripheral,22,1
4.624863007960728,peripheral,27,2
4.6270853230965105,bimodal,17,5
4.635591684328295,peripheral,21,5
4.708265052015891,bimodal,22,12
4.725883660718294,peripheral,22,4
4.748659645208197,bimodal,20,5
4.7507638656398425,peripheral,27,3
4.751387962676381,uniform,33,4
4.7522418184727355,peripheral,23,11
4.759057330059387,bimodal,27,4
4.776551366131498,peripheral,27,4
4.783075782115896,peripheral,27,7
4.78308356760658,bimodal,1,20
4.7926758835712135,bimodal,26,12
4.793060529732536,peripheral,21,10
4.793250734654877,peripheral,19,1
4.79453583067611,peripheral,18,5
4.8046960669231416,uniform,33,3
4.816505252657198,peripheral,25,7
4.826575127244918,peripheral,21,4
4.8365995628070335,peripheral,26,7
4.837496135725543,bimodal,25,9
4.842582832253182,peripheral,20,9
4.847872398721773,bimodal,19,6
4.851373610362703,bimodal,25,5
4.867524396302812,peripheral,25,6
4.877145393111762,bimodal,23,6
4.877515354714105,peripheral,17,3
4.883628312950281,peripheral,18,6
4.892863547646391,bimodal,24,11
4.91276660125801,peripheral,28,3
4.927248221397832,peripheral,25,9
4.932802529677802,peripheral,26,8
4.934372031632414,peripheral,7,31
4.9477566933688095,bimodal,21,2
4.9501150700834815,bimodal,17,9
4.972192724137215,peripheral,21,7
5.004580751092658,bimodal,19,8
5.005158436529508,bimodal,21,5
5.006723614229076,uniform,28,19
5.00944543410498,bimodal,19,7
5.012231202031364,peripheral,26,10
5.013926552306654,bimodal,23,7
5.017625299179212,bimodal,22,2
5.032058953572328,peripheral,17,2
5.032735254625561,bimodal,27,6
5.038036008913187,peripheral,18,9
5.039959976139115,peripheral,20,7
5.048303772385348,uniform,30,6
5.050668079554963,peripheral,27,9
5.057760929816155,bimodal,22,6
5.071459203245801,bimodal,18,4
5.094762931082504,bimodal,23,2
5.098770857863351,uniform,32,4
5.10484094285536,bimodal,20,6
5.105443615072169,peripheral,21,18
5.105532171494633,peripheral,21,8
5.111971724001408,peripheral,18,1
5.113049269773055,uniform,28,8
5.113080048430446,peripheral,25,8
5.117811461307013,peripheral,17,5
5.120607468764505,uniform,30,2
5.127910476454227,bimodal,21,11
5.129525410260311,uniform,31,2
5.135989996546731,peripheral,23,7
5.141654661352938,bimodal,19,5
5.1438009178600925,bimodal,20,7
5.153537041733799,peripheral,20,5
5.158229094291107,uniform,35,10
5.162840642684628,uniform,9,16
5.163348400708442,bimodal,21,7
5.17164633714271,peripheral,18,4
5.173581907919696,bimodal,28,3
5.1792880121131875,uniform,28,3
5.181584889095014,bimodal,26,7
5.196363737766025,uniform,29,3
5.196442891619096,bimodal,21,3
5.197723377777198,peripheral,23,5
5.2037481618967565,bimodal,21,8
5.207361075936097,peripheral,18,7
5.212569469625343,peripheral,29,1
5.214242325908192,bimodal,20,1
5.2170212771591356,bimodal,24,8
5.2180359513508074,uniform,29,6
5.219465497122426,peripheral,24,8
5.2207396729235365,bimodal,21,6
5.221143623370067,bimodal,20,4
5.222651085823096,bimodal,26,5
5.222968672680454,uniform,29,10
5.232013257140162,peripheral,18,12
5.235704009869503,bimodal,28,1
5.24784173714307,uniform,28,1
5.2533152871907065,peripheral,27,1
5.255692435735973,bimodal,20,3
5.256124623202535,uniform,19,15
5.261029843574311,peripheral,26,11
5.265435317141328,uniform,36,3
5.2743711976535135,peripheral,21,2
5.279872428135134,peripheral,22,2
5.282048073908585,bimodal,28,5
5.283240066128449,uniform,42,14
5.290331105137794,uniform,36,6
5.298915534803009,bimodal,28,8
5.303390822028526,bimodal,22,9
5.308840224474611,bimodal,9,21
5.309293323413705,peripheral,25,1
5.310720994541404,uniform,33,7
5.311577566039464,peripheral,20,12
5.312481253044307,uniform,30,3
5.316432258889538,peripheral,21,1
5.319185418281821,bimodal,18,6
5.319353985891309,peripheral,19,8
5.323440840607655,bimodal,19,9
5.3240714272442435,bimodal,18,5
5.330376175386133,uniform,26,1
5.33123571772566,uniform,30,1
5.33704440189892,uniform,20,20
5.349593894594031,peripheral,19,19
5.351519423927755,uniform,49,9
5.3525911671291215,uniform,7,18
5.356817443656156,uniform,24,22
5.365302671650785,uniform,1,18
5.368809238959198,uniform,35,6
5.370559625578525,peripheral,20,4
5.37377566883212,bimodal,8,28
5.374271385044361,uniform,33,1
5.374878674053771,bimodal,26,2
5.375526032529546,uniform,31,8
5.3791946104666994,uniform,35,12
5.380194447226165,peripheral,28,5
5.386417147888692,peripheral,16,38
5.388605159193635,uniform,28,5
5.390208676429576,bimodal,18,3
5.390224804388999,uniform,2,26
5.392307393963122,peripheral,18,10
5.394849869276613,bimodal,24,10
5.395991076865701,peripheral,26,1
5.39827368140876,bimodal,24,13
5.40427007360772,bimodal,23,3
5.405065907214027,bimodal,19,14
5.409977572910118,bimodal,19,3
5.412920891187773,peripheral,28,6
5.414728569148148,bimodal,23,8
5.415348276024631,uniform,21,16
5.415430746489682,peripheral,26,12
5.421104897290419,bimodal,25,12
5.422522242749166,bimodal,26,8
5.42388440341205,bimodal,19,1
5.428665385531261,bimodal,25,2
5.428875544010454,peripheral,20,10
5.430687057674016,bimodal,24,5
5.431272663559035,uniform,6,22
5.433643642461803,bimodal,26,3
5.436393565648471,uniform,34,2
5.4420464856755695,bimodal,29,9
5.444463711194403,uniform,10,17
5.444784148258583,bimodal,27,9
5.445476293783622,uniform,13,26
5.445696274882771,uniform,37,1
5.447698226561052,bimodal,29,14
5.447927668493721,peripheral,19,5
5.452378758445926,peripheral,6,36
5.453517197967331,peripheral,20,15
5.462712355937854,peripheral,18,8
5.463836110223347,uniform,35,8
5.474233562694808,bimodal,12,18
5.474340782998868,peripheral,27,6
5.475323572323617,uniform,5,17
5.481934320520916,uniform,33,2
5.484389555533848,peripheral,10,14
5.485204420404011,uniform,33,13
5.488850528347776,peripheral,17,4
5.490679740857768,peripheral,18,2
5.492871408113306,bimodal,26,6
5.494838303747601,peripheral,26,9
5.496296741515208,uniform,33,10
5.4980598962956915,peripheral,22,14
5.498299902488649,uniform,37,5
5.500718635418733,bimodal,29,6
5.502951125187897,uniform,27,16
5.503144763527916,uniform,31,1
5.507234558807199,uniform,26,13
5.507561950071284,uniform,26,22
5.509067235019476,uniform,40,3
5.510278137413206,bimodal,21,19
5.515895201712532,peripheral,2,19
5.520790828227565,uniform,22,29
5.521831736791204,uniform,19,16
5.525027157324975,peripheral,16,5
5.526694995930647,peripheral,30,14
5.528840930710317,peripheral,29,2
5.530483830572909,bimodal,13,23
5.53139833865495,peripheral,22,7
5.531640116512462,bimodal,26,10
5.532301149804047,peripheral,28,4
5.538413295824797,bimodal,22,5
5.542578967243911,uniform,27,1
5.544047450523172,bimodal,10,22
5.54800116285632,bimodal,17,19
5.548745945189467,peripheral,23,9
5.552197990575493,bimodal,29,17
5.553695609604851,uniform,21,10
5.554588200173539,bimodal,8,27
5.555538600285534,bimodal,28,4
5.5597727144056845,bimodal,27,8
5.559862224251377,bimodal,21,9
5.561920682894907,peripheral,4,20
5.564950517985609,uniform,25,15
5.5715110846320535,uniform,37,2
5.571884629865404,peripheral,29,4
5.5742749647876035,uniform,32,9
5.575081514743633,bimodal,26,4
5.578642838496681,bimodal,20,8
5.57927828936892,bimodal,27,18
5.581820285990355,peripheral,3,22
5.582540390663173,bimodal,3,20
5.585569480365674,bimodal,19,22
5.585755890879314,bimodal,27,3
5.58657041114513,uniform,24,24
5.587261186586616,bimodal,28,6
5.5882738312994364,bimodal,19,2
5.588479175974125,uniform,14,24
5.58991108214348,uniform,28,10
5.5934112974789985,bimodal,29,23
5.595097602578398,uniform,18,17
5.5971225259337825,uniform,30,8
5.599477476072681,peripheral,29,3
5.599783077632921,uniform,1,22
5.600216953471611,peripheral,27,5
5.600684875315663,bimodal,27,5
5.6013933575743735,bimodal,17,20
5.602969849211111,peripheral,5,20
5.603483196287648,uniform,27,8
5.605810437525023,peripheral,25,11
5.609944691230744,bimodal,22,11
5.610366895260797,peripheral,32,5
5.613027565824229,uniform,38,9
5.617802097383771,bimodal,15,17
5.6185440156291255,peripheral,31,4
5.623071079584724,bimodal,2,23
5.625766240392598,peripheral,9,18
5.626710276845951,uniform,30,11
5.630724307817865,bimodal,20,2
5.631336395360466,bimodal,27,11
5.633801638445915,uniform,23,7
5.634761975029661,bimodal,17,12
5.635193590723318,uniform,43,8
5.635787414861166,bimodal,9,26
5.63626170619387,bimodal,29,3
5.63810235017681,peripheral,15,10
